According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Hai ^np+++??+=HAI,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
schools ^nns++++=schools
should ^md+nec+++=should
promote ^vb++++=promote
social ^jj+atrb+++=social
cohesion ^nn++++=cohesion
by ^in++++=by
imparting ^nn++++=imparting
shared ^vbd+++xvbn+=shared
values ^nns++++=values
that ^tht+rel+subj++=that
reflect ^vb+vprv+++=reflect
the ^ati++++=the
needs ^nns++++=needs
of ^in++++=of
all ^abn++++=all
citizens ^nns++++=citizens
and ^cc++++=and
groups ^nns++++=groups
within ^in++++=within
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Religious ^jj+atrb+++=Religious
education ^nn++++=education
( ^zz++++=(RE)
re ^in++++=EXTRAWORD
) ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+vrb++=be
strictly ^rb++++=strictly
informative ^jj+pred+++=informative
and ^cc+phrs+++=and
based ^jj+++xvbn+=based
on ^in++++=on
the ^ati++++=the
comparative ^jj+atrb+++=comparative
study ^nn++++=study
of ^in++++=of
both ^abx++++=both
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
worldviews ^nns+++??+=worldviews.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Hai ^np+++??+=HAI
strongly ^rb+amp+++=strongly
opposes ^vbz++++=opposes
the ^ati++++=the
denominational ^jj+atrb+++=denominational
model ^nn++++=model,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
it ^pp3+it+++=it
argues ^vbz+vpub+++=argues
exacerbates ^nns+++??+=exacerbates
divisions ^nns++++=divisions
within ^in++++=within
Irish ^jj+atrb+++=Irish
society ^nn++++=society,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
by ^in++++=by
segregating ^nn+++??+=segregating
pupils ^nns++++=pupils
during ^in++++=during
Re ^in++++=RE
classes ^nns++++=classes.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Hai ^np+++??+=HAI
advocates ^nns++++=advocates
for ^in++++=for
a ^at++++=a
model ^nn++++=model
of ^in++++=of
Re ^in++++=RE
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
accessible ^jj+pred+++=accessible
to ^in++++=to
all ^abn++++=all
students ^nns++++=students
and ^cc++++=and
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
infringe ^nn+++??+=infringe
upon ^in++++=upon
their ^pp$+pp3+++=their
fundamental ^jj+atrb+++=fundamental
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
with ^in++++=with
confessional ^nn++++=confessional
instruction ^nn++++=instruction
restricted ^vpsv++agls+xvbn+=restricted
to ^in++++=to
outside ^jjb+atrb+++=outside
regular ^jj+atrb+++=regular
school ^nn++++=school
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
