There ^ex+pex+++=There
are ^vb+ber+vrb++=are
also ^rb++++=also
four ^cd++++=four
moderate ^jj+atrb+++=moderate
correlations ^nns++++=correlations,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
6 ^zz++++=6.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mean ^jj+atrb+++=mean
magnitude ^nn++++=magnitude
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
indicators ^nns++++=indicators
within ^in++++=within
this ^dt+dem+++=this
dimension ^nn++++=dimension
is ^vbz+bez+vrb++=is
0.2722 ^nn+++??+=0.2722,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
standard ^jj+atrb+++=standard
deviation ^nn++++=deviation
of ^in++++=of
0.1985 ^nn+++??+=0.1985.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
this ^dt+dem+++=this
dimension ^nn++++=dimension
comprises ^vbz++++=comprises
a ^at++++=a
robust ^jj+atrb+++=robust
set ^nn+++xvbn+=set
of ^in++++=of
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
one ^cd1++++=one
instance ^nn++++=instance
of ^in++++=of
redundancy ^nn++++=redundancy
among ^in++++=among
the ^ati++++=the
seven ^cd++++=seven
indicators ^nns++++=indicators
analyzed ^nn+++??+=analyzed
in ^in++++=in
the ^ati++++=the
group ^nn++++=group
of ^in++++=of
institutions ^nns++++=institutions
considered ^vbd+vprv++xvbn+=considered
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
