These ^dt+dem+++=These
measurements ^nns++++=measurements
also ^rb++++=also
facilitate ^vb++++=facilitate
the ^ati++++=the
prediction ^nn++++=prediction
of ^in++++=of
institutional ^jj+atrb+++=institutional
behavior ^nn++++=behavior
when ^wrb+who+++=when
assessed ^vbd+++xvbn+=assessed
using ^vbg+++xvbg+=using
multidimensional ^nn+++??+=multidimensional
criteria ^nns++++=criteria
and ^cc++++=and
provide ^vb+vsua+++=provide
a ^at++++=a
clearer ^jjr++++=clearer
understanding ^jj+++xvbg+=understanding
of ^in++++=of
whether ^cs+who+++=whether
the ^ati++++=the
institutions ^nns++++=institutions
examined ^vwbn+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
exhibit ^vb++++=exhibit
homogeneous ^jj+atrb+++=homogeneous
or ^cc+phrs+++=or
heterogeneous ^jj+atrb+++=heterogeneous
performance ^nn++++=performance
across ^in+pl+++=across
different ^jj+atrb+++=different
dimensions ^nns++++=dimensions.
. ^zz++++=EXTRAWORD
