This ^dt+pdem+++=This
does ^vbz+doz+aux++=does
not ^xnot++not++=not
imply ^vb+vprv+++=imply,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
denominational ^jj+atrb+++=denominational
education ^nn++++=education
entirely ^rb+amp+++=entirely
precludes ^vb++++=precludes
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
critical ^jj+atrb+++=critical
assessment ^nn++++=assessment
of ^in++++=of
various ^jj++++=various
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
worldviews ^nns+++??+=worldviews.
. ^zz++++=EXTRAWORD
As ^in++++=As
demonstrated ^nn++++=demonstrated
by ^in++++=by
the ^ati++++=the
evidence ^nn++++=evidence
presented ^vwbn+++xvbn+=presented
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
both ^abx++++=both
the ^ati++++=the
Catholic ^jj+atrb+++=Catholic
Church ^npl++++=Church
and ^cc++++=and
the ^ati++++=the
Church ^nn++++=Church
of ^in++++=of
Ireland ^np++++=Ireland
have ^vb+hv+aux++=have
expressed ^vprf+++xvbnx+=expressed
a ^at++++=a
commitment ^nn++++=commitment
to ^to+ncmp+++=to
equipping ^vbi++++=equipping
pupils ^nns++++=pupils
with ^in++++=with
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
evaluate ^vbi++++=evaluate
truth ^nn++++=truth
and ^cc++++=and
moral ^jj+atrb+++=moral
claims ^nns++++=claims
from ^in++++=from
different ^jj+atrb+++=different
religions ^nns++++=religions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
reflected ^vpsv++agls+xvbnx+=reflected
in ^in++++=in
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
dedicated ^xvbn+++xvbn+=dedicated
sections ^nns++++=sections
on ^in++++=on
other ^ap++++=other
faith ^nn++++=faith
traditions ^nns++++=traditions
within ^in++++=within
their ^pp$+pp3+++=their
curricula ^nns++++=curricula.
. ^zz++++=EXTRAWORD
Terence ^np++++=Terence
Mclaughlin ^np+++??+=McLaughlin
( ^zz++++=(1990)
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
a ^at++++=a
religious ^jj+atrb+++=religious
upbringing ^nn++++=upbringing
that ^tht+rel+subj++=that
allows ^vbz++++=allows
for ^in+ppvb+++=for
questioning ^xvbg+++xvbg+=questioning
and ^cc++++=and
consideration ^nn++++=consideration
of ^in++++=of
alternative ^jj+atrb+++=alternative
perspectives ^nns++++=perspectives
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
conflict ^nn++++=conflict
with ^in++++=with
the ^ati++++=the
principles ^nns++++=principles
of ^in++++=of
liberal ^jj+atrb+++=liberal
autonomy ^nn++++=autonomy.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
child ^nn++++=child
upbringing ^nn++++=upbringing
inherently ^rb++++=inherently
involves ^vbz++++=involves
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
specific ^jj+atrb+++=specific
teachings ^nns++++=teachings
and ^cc++++=and
moral ^jj+atrb+++=moral
values ^nns++++=values,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
participation ^nn++++=participation
in ^in++++=in
practices ^nns++++=practices
and ^cc++++=and
activities ^nns++++=activities
that ^tht+rel+++=that
foster ^jjb++++=foster
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
familiarity ^nn++++=familiarity
and ^cc++++=and
security ^nn++++=security,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
follows ^vbz+vprv+++=follows
that ^tht+vcmp+++=that
denominational ^jj+atrb+++=denominational
schooling ^nn++++=schooling
does ^vbz+doz+vrb++=does
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
in ^in++++=in
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
constitute ^vb++++=constitute
a ^at++++=a
violation ^nn++++=violation
of ^in++++=of
children ^nns++++=children
s ^zz++++=s
basic ^jj+atrb+++=basic
rights ^nns++++=rights.
. ^zz++++=EXTRAWORD
