This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^to++++=to
suggest ^vbi+vpub+++=suggest
that ^tht+vcmp+++=that
forms ^nns++++=forms
of ^in++++=of
resistance ^nn++++=resistance,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
shirking ^nn+++??+=shirking,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
sabotage ^nn++++=sabotage,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
absent ^jj+pred+++=absent.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
some ^dti++++=some
research ^nn++++=research
participants ^nns++++=participants
provided ^vbd+++xvbn+=provided
examples ^nns++++=examples
of ^in++++=of
resistance ^nn++++=resistance,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
cited ^vwbn+++xvbn+=cited
instance ^nn++++=instance
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
deliberate ^nn++++=deliberate
stalling ^vwbg+++xvbg+=stalling
of ^in++++=of
administrative ^jj+atrb+++=administrative
processes ^nns++++=processes
in ^in++++=in
anticipation ^vb++++=anticipation
that ^tht+vcmp+obj++=that
leadership ^nn++++=leadership
changes ^nns++++=changes
or ^cc++++=or
shifting ^jj+atrb++xvbg+=shifting
priorities ^nns++++=priorities
would ^md+prd+++=would
eventually ^rb+tm+splt++=eventually
render ^vb++++=render
the ^ati++++=the
issue ^nn++++=issue
obsolete ^jj++++=obsolete.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
cases ^nns++++=cases
in ^in++++=in
which ^whp+rel+pied++=which
bureaucrats ^nns++++=bureaucrats
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
opposition ^nn++++=opposition
to ^in++++=to
the ^ati++++=the
government ^nn++++=government
outside ^in+cmpx+++=outside
of ^in"++++=of
their ^pp$+pp3+++=their
official ^jj+atrb+++=official
duties ^nns++++=duties
and ^cc++++=and
working ^jj+atrb++xvbg+=working
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
these ^dt+dem+++=these
instances ^nns++++=instances,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
consistently ^rb++++=consistently
reported ^vbn+vpub+++=reported
experiencing ^vbg+++xvbg+=experiencing
fear ^vb++++=fear.
. ^zz++++=EXTRAWORD
