Identify ^vb++++=Identify
bibliographic ^nn+++??+=bibliographic
review ^nn++++=review
techniques ^nns++++=techniques
that ^tht+rel+subj++=that
facilitate ^vb++++=facilitate
the ^ati++++=the
systematic ^jj+atrb+++=systematic
organization ^nn++++=organization
and ^cc++++=and
analysis ^nn++++=analysis
of ^in++++=of
scientific ^jj+atrb+++=scientific
literature ^nn++++=literature
published ^vpsv++agls+xvbn+=published
across ^in+pl+++=across
various ^jj+atrb+++=various
academic ^jj+atrb+++=academic
sources ^nns++++=sources.
. ^zz++++=EXTRAWORD
