A ^at++++=A
total ^nn++++=total
of ^in++++=of
181 ^cd++++=181
individuals ^nns++++=individuals
aged ^jj++++=aged
18 ^cd++++=18
to ^to++++=to
54 ^cd++++=54
years ^nns++++=years
( ^zz++++=(median
median ^jjb+atrb+++=EXTRAWORD
age ^nn++++=age
= ^zz++++==
20 ^cd++++=20
years ^nns++++=years)
) ^zz++++=EXTRAWORD
participated ^vbd+++xvbn+=participated
in ^in++++=in
the ^ati++++=the
survey ^nn++++=survey.
. ^zz++++=EXTRAWORD
Approximately ^rb+down+++=Approximately
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
were ^vbd+bed+vrb++=were
female ^nn++++=female,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
university ^npl++++=university
students ^nns++++=students.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sample ^nn++++=sample
included ^vbd+++xvbn+=included
78 ^cd++++=78
Portuguese ^nn++++=Portuguese
and ^cc++++=and
73 ^cd++++=73
Brazilian ^jj+atrb+++=Brazilian
undergraduate ^nn++++=undergraduate
students ^nns++++=students
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
learning ^vbg+vprv++xvbgx+=learning
either ^dtx++++=either
English ^jj++++=English
( ^zz++++=(61
61 ^cd++++=EXTRAWORD
Portuguese ^nn++++=Portuguese
and ^cc++++=and
56 ^cd++++=56
Brazilian ^jj++++=Brazilian)
) ^zz++++=EXTRAWORD
or ^cc++++=or
Spanish ^jj++++=Spanish
( ^zz++++=(17
17 ^cd++++=EXTRAWORD
Portuguese ^nn++++=Portuguese
and ^cc++++=and
17 ^cd++++=17
Brazilian ^jj++++=Brazilian)
) ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
foreign ^jj+atrb+++=foreign
language ^nn++++=language,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^to++++=to
20 ^cd++++=20
native ^jj+atrb+++=native
english ^jj+atrb+++=English
speakers ^nns++++=speakers
and ^cc++++=and
10 ^cd++++=10
native ^jj+atrb+++=native
spanish ^jj+atrb+++=Spanish
speakers ^nns++++=speakers.
. ^zz++++=EXTRAWORD
