Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
unvaccinated ^nn+++??+=unvaccinated
susceptible ^jj+atrb+++=susceptible
adolescents ^nns++++=adolescents
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
higher ^jjr+atrb+++=higher
incidence ^nn++++=incidence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
compared ^xvbn+++xvbn+=compared
to ^in++++=to
their ^pp$+pp3+++=their
vaccinated ^nn+++??+=vaccinated
counterparts ^nns++++=counterparts.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
among ^in++++=among
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
became ^vbd+++xvbn+=became
infected ^vbd+++xvbn+=infected,
, ^zz++++=EXTRAWORD
both ^abx++++=both
unvaccinated ^nn+++??+=unvaccinated
and ^cc++++=and
vaccinated ^nn+++??+=vaccinated
adolescents ^nns++++=adolescents
experienced ^vbd+++xvbn+=experienced
similar ^jj+atrb+++=similar
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
including ^in++++=including
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
runny ^nn+++??+=runny
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
anosmia ^nn+++??+=anosmia,
, ^zz++++=EXTRAWORD
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ageusia ^nn+++??+=ageusia.
. ^zz++++=EXTRAWORD
No ^at++++=No
cases ^nns++++=cases
of ^in++++=of
reinfection ^nn+++??+=reinfection
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
among ^in++++=among
adolescents ^nns++++=adolescents
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
recovered ^vprf+++xvbnx+=recovered
from ^in++++=from
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
absence ^nn++++=absence
of ^in++++=of
infection ^nn++++=infection-mitigation
- ^zz++++=EXTRAWORD
mitigation ^nn++++=EXTRAWORD
strategies ^nns+++??+=strategies
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
a ^at++++=a
superspreading ^nn++++=superspreading
event ^nn++++=event.
. ^zz++++=EXTRAWORD
