Biological ^jj+atrb+++=Biological
indices ^nns++++=indices
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
according ^in+cmpx+++=according
to ^in++++=to
Cetesb ^np+++??+=CETESB
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
indicated ^vbd+vprv++xvbn+=indicated
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
sensitive ^jj+atrb+++=sensitive
organisms ^nns++++=organisms
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
score ^nn++++=score
( ^zz++++=(5),
5 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Trichoptera ^np+++??+=Trichoptera
( ^zz++++=(with
with ^in++++=EXTRAWORD
case ^nn++++=case)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Plecoptera ^np+++??+=Plecoptera
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
5 ^zz++++=5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tolerant ^jj+atrb+++=Tolerant
organisms ^nns++++=organisms
with ^in++++=with
a ^at++++=a
score ^nn++++=score
of ^in++++=of
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
including ^in++++=including
Diptera ^np+++??+=Diptera,
, ^zz++++=EXTRAWORD
Nematoda ^np+++??+=Nematoda,
, ^zz++++=EXTRAWORD
Hirudinea ^np+++??+=Hirudinea,
, ^zz++++=EXTRAWORD
Turbellaria ^np+++??+=Turbellaria,
, ^zz++++=EXTRAWORD
Polychaeta ^np+++??+=Polychaeta,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Oligochaeta ^np+++??+=Oligochaeta,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
also ^rb++splt++=also
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ecological ^nn+++??+=ecological
index ^nn++++=index
for ^in++++=for
each ^dt++++=each
replicate ^nn+++??+=replicate
and ^cc++++=and
sampling ^nn++++=sampling
site ^nn++++=site
was ^vbd+bedz+aux++=was
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
summing ^xvbg+++xvbg+=summing
the ^ati++++=the
scores ^nns++++=scores
assigned ^vbd+++xvbn+=assigned
to ^in++++=to
the ^ati++++=the
organisms ^nns++++=organisms
found ^vbd+vprv++xvbn+=found
at ^rb++++=at
each ^dt++++=each
location ^nn++++=location.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
replicates ^nns+++??+=replicates
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
having ^jj+++xvbg+=having
excellent ^jj+atrb+++=excellent
or ^cc+phrs+++=or
good ^jj+atrb+++=good
water ^nn++++=water
quality ^nn++++=quality,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
only ^rb+down+++=only
two ^cd++++=two
replicates ^nns+++??+=replicates
( ^zz++++=(P2A
p2a ^nn+++??+=EXTRAWORD
and ^cc++++=and
P3b ^np+++??+=P3B)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
regular ^jj+atrb+++=regular
quality ^nn++++=quality.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
replicates ^nns+++??+=replicates
were ^vbd+bed+aux++=were
grouped ^vpsv++by+xvbnx+=grouped
by ^in++++=by
sampling ^nn++++=sampling
site ^nn++++=site,
, ^zz++++=EXTRAWORD
all ^abn++++=all
three ^cd++++=three
locations ^nns++++=locations
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
having ^vb+hvg+vrb++=having
excellent ^jj+atrb+++=excellent
water ^nn++++=water
quality ^nn++++=quality
according ^in++++=according
to ^to++++=to
the ^ati++++=the
index ^nn++++=index.
. ^zz++++=EXTRAWORD
