Given ^vbd+++xvbn+=Given
the ^ati++++=the
European ^jj+atrb+++=European
Court ^np++++=Court's
's ^$++++=EXTRAWORD
emphasis ^nn++++=emphasis
on ^in++++=on
ensuring ^vb+vprv++xvbg+=ensuring
that ^tht+vcmp+++=that
citizens ^nns++++=citizens
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
an ^at++++=an
educational ^jj+atrb+++=educational
system ^nn++++=system
in ^in++++=in
which ^whp+rel+pied++=which
content ^nn++++=content
is ^vbz+bez+aux++=is
delivered ^vpsv++agls+xvbnx+=delivered
in ^in++++=in
an ^at++++=an
objective ^nn++++=objective,
, ^zz++++=EXTRAWORD
critical ^jj++++=critical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pluralistic ^jj+atrb++??+=pluralistic
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
reasonably ^rb++splt++=reasonably
inferred ^vpsv++agls+xvbnx+=inferred
that ^dt+dem+++=that
a ^at++++=a
secular ^jj+atrb+++=secular
approach ^nn++++=approach
to ^in++++=to
education ^nn++++=education,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
primarily ^rb+down+++=primarily
addresses ^vbz++++=addresses
the ^ati++++=the
religious ^jj+atrb+++=religious
phenomenon ^nn++++=phenomenon
from ^in++++=from
a ^at++++=a
historical ^jj+atrb+++=historical
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
fulfill ^vb++++=fulfill
these ^dt+dem+++=these
requirements ^nns++++=requirements.
. ^zz++++=EXTRAWORD
