A ^at++++=A
search ^nn++++=search
using ^vwbg+++xvbg+=using
the ^ati++++=the
keyword ^nn++++=keyword
" ^zz++++="tradu
tradu ^nn+++??+=EXTRAWORD
o ^zz++++=o"
" ^zz++++=EXTRAWORD
( ^zz++++=(translation)
translation ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico
website ^nn+++??+=website
retrieved ^vbd+++xvbn+=retrieved
218 ^cd++++=218
theses ^nns++++=theses
and ^cc++++=and
dissertations ^nns+++??+=dissertations.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
the ^ati++++=the
titles ^nns++++=titles
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
only ^rb+down+++=only
four ^cd++++=four
of ^in++++=of
these ^dt+pdem+++=these
were ^vbd+bed+aux++=were
theses ^nns++++=theses
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
medical ^jj+atrb+++=medical
translation ^nn++++=translation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
dissertations ^nn++++=dissertations
on ^in++++=on
medical ^jj+atrb+++=medical
translation ^nn++++=translation
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
were ^vbd+bed+aux++=were
confirmed ^vpsv++agls+xvbnx+=confirmed
through ^in++++=through
a ^at++++=a
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
abstracts ^nns+++??+=abstracts
for ^in++++=for
all ^rb++++=all
218 ^cd++++=218
works ^nns++++=works.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flowchart ^nn+++??+=flowchart
in ^in++++=in
Figure ^nn++++=Figure
4 ^zz++++=4
summarizes ^vbz++++=summarizes
these ^dt+dem+++=these
results ^nns++++=results,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
that ^tht+vcmp+++=that
although ^cs+con+++=although
the ^ati++++=the
keyword ^nn++++=keyword
" ^zz++++="tradu
tradu ^nn+++??+=EXTRAWORD
o ^zz++++=o"
" ^zz++++=EXTRAWORD
yielded ^vbd+++xvbn+=yielded
218 ^cd++++=218
entries ^nns++++=entries,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
four ^cd++++=four
( ^zz++++=(1.8%)
1.8 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
met ^vbd+++xvbn+=met
the ^ati++++=the
selection ^nn++++=selection
criteria ^nns++++=criteria
for ^in++++=for
medical ^jj+atrb+++=medical
translation ^nn++++=translation.
. ^zz++++=EXTRAWORD
