At ^rb++++=At
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
collection ^nn++++=collection
period ^nn++++=period,
, ^zz++++=EXTRAWORD
the ^ati++++=the
database ^nn+++??+=database
was ^vbd+bedz+aux++=was
consolidated ^vpsv++by+xvbnx+=consolidated
by ^in++++=by
merging ^xvbg+++xvbg+=merging
the ^ati++++=the
three ^cd++++=three
survey ^nn++++=survey
stages ^nns++++=stages
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
both ^abx++++=both
cities ^nns++++=cities.
. ^zz++++=EXTRAWORD
A ^at++++=A
consistency ^nn++++=consistency
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
to ^to++++=to
assess ^vbi++++=assess
data ^nns++++=data
reliability ^nn++++=reliability,
, ^zz++++=EXTRAWORD
identify ^vb++++=identify
potential ^jj+atrb+++=potential
typographical ^nn+++??+=typographical
errors ^nns++++=errors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
detect ^vb++++=detect
missing ^jj+atrb++xvbg+=missing
values ^nns++++=values.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sampling ^nn++++=sampling
weight ^nn++++=weight
for ^in++++=for
each ^dt++++=each
selected ^jj+atrb++xvbn+=selected
unit ^nn++++=unit
census ^nn++++=census
tract ^nn++++=tract,
, ^zz++++=EXTRAWORD
household ^nn++++=household,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
individual ^nn++++=individual
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
separately ^rb++++=separately
for ^in++++=for
each ^ppls++++=each
city ^npl++++=city,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
inverse ^jj+atrb+++=inverse
probability ^nn++++=probability
of ^in++++=of
selection ^nn++++=selection
as ^in++++=as
specified ^nn++++=specified
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
s ^zz++++=s
sampling ^nn++++=sampling
plan ^nn++++=plan
and ^cc++++=and
using ^jj+atrb++xvbg+=using
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
2010 ^cd++++=2010
demographic ^jj+atrb+++=demographic
census ^nn++++=census.
. ^zz++++=EXTRAWORD
Adjustments ^nns++++=Adjustments
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
non ^&fw++++=non-response,
- ^zz++++=EXTRAWORD
response ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
weights ^nns++++=weights
for ^in++++=for
households ^nns++++=households
and ^cc++++=and
selected ^xvbn+++xvbn+=selected
residents ^nns++++=residents
were ^vbd+bed+aux++=were
calibrated ^vpsv++agls+xvbnx+=calibrated
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
the ^ati++++=the
population ^nn++++=population
totals ^nns++++=totals
by ^in++++=by
sex ^nn++++=sex
and ^cc++++=and
age ^nn++++=age
group ^nn++++=group
( ^zz++++=(18
18 ^cd++++=EXTRAWORD
29 ^cd++++=29
years ^nns++++=years,
, ^zz++++=EXTRAWORD
30 ^cd++++=30
49 ^cd++++=49
years ^nns++++=years,
, ^zz++++=EXTRAWORD
50 ^cd++++=50
59 ^cd++++=59
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
60 ^cd++++=60
years ^nns++++=years
and ^cc++++=and
older ^jjr++++=older)
) ^zz++++=EXTRAWORD
aligned ^vbd+++xvbn+=aligned
with ^in++++=with
the ^ati++++=the
2019 ^cd++++=2019
population ^nn++++=population
projections ^nns++++=projections
provided ^vbd+vsua+++=provided
by ^in++++=by
datasus ^np++++=DATASUS
[ ^zz++++=[22].
22 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
