Elite ^nn++++=Elite
Squad ^nn++++=Squad
is ^vbz+bez+vrb++=is
a ^at++++=a
Brazilian ^jj+atrb+++=Brazilian
film ^nn++++=film
that ^tht+rel+subj++=that
achieved ^vprf+++xvbn+=achieved
international ^jj+atrb+++=international
distribution ^nn++++=distribution
in ^in++++=in
the ^ati++++=the
late ^jj++++=late
2000s ^cd++++=2000s.
. ^zz++++=EXTRAWORD
The ^ati++++=The
narrative ^nn++++=narrative
centers ^nns+++??+=centers
on ^in++++=on
Captain ^npt++++=Captain
Nascimento ^np+++??+=Nascimento,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leader ^nn++++=leader
of ^in++++=of
a ^at++++=a
specialized ^jj+atrb++xvbn+=specialized
police ^nns++++=police
unit ^nn++++=unit
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
assigned ^vpsv++agls+xvbnx+=assigned
to ^to++++=to
combat ^vbi++++=combat
crime ^nn++++=crime
using ^vwbg+++xvbg+=using
any ^dti++++=any
means ^in++++=means
necessary ^nn++++=necessary.
. ^zz++++=EXTRAWORD
A ^at++++=A
notable ^jj+atrb+++=notable
scene ^nn++++=scene
features ^nns++++=features
Nascimento ^np+++??+=Nascimento
confronting ^vwbg+++xvbg+=confronting
a ^at++++=a
new ^jj+atrb+++=new
recruit ^nn++++=recruit
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
struggling ^vbg+++xvbgx+=struggling
with ^in++++=with
the ^ati++++=the
training ^nn++++=training
regimen ^nn+++??+=regimen;
; ^zz++++=EXTRAWORD
during ^in++++=during
this ^dt+dem+++=this
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
Nascimento ^np+++??+=Nascimento
physically ^rb++++=physically
grabs ^vbz+++??+=grabs
the ^ati++++=the
recruit ^nn++++=recruit
by ^in++++=by
the ^ati++++=the
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
shouts ^vbz++++=shouts
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slaps ^nns+++??+=slaps
him ^pp3o+pp3+++=him
repeatedly ^rb++++=repeatedly
while ^cs+sub+++=while
demanding ^vbg+vsua++xvbg+=demanding
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
" ^zz++++="ask
ask ^vb++++=EXTRAWORD
to ^to+vcmp+++=to
quit ^vbi++++=quit"
" ^zz++++=EXTRAWORD
( ^zz++++=("pede
" ^zz++++=EXTRAWORD
pede ^nn+++??+=EXTRAWORD
pra ^nn+++??+=pra
sair" ^nn+++??+=sair").
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
performed ^xvbn+++xvbn+=performed
by ^in++++=by
actor ^nn++++=actor
Wagner ^np++++=Wagner
Moura ^np+++??+=Moura,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
a ^at++++=a
widely ^rb++++=widely
recognized ^vbd+vprv++xvbn+=recognized
meme ^nn+++??+=meme
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
symbolizing ^vbg+++xvbg+=symbolizing
situations ^nns++++=situations
in ^in++++=in
which ^whp+rel+pied++=which
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
ostensibly ^rb++splt++=ostensibly
given ^vpsv++agls+xvbnx+=given
a ^at++++=a
choice ^nn++++=choice
to ^to++++=to
withdraw ^vbi++++=withdraw
but ^cc++++=but
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
in ^in++++=in
reality ^nn++++=reality,
, ^zz++++=EXTRAWORD
subjected ^xvbn+++xvbn+=subjected
to ^in++++=to
coercion ^nn++++=coercion
and ^cc++++=and
violence ^nn++++=violence.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
practices ^nns++++=practices
in ^in++++=in
training ^nn++++=training
environments ^nns++++=environments
reflect ^vb+vprv+++=reflect
the ^ati++++=the
enduring ^jj+atrb++xvbg+=enduring
influence ^nn++++=influence
of ^in++++=of
Brazil ^np++++=Brazil
s ^zz++++=s
military ^jj+atrb+++=military
dictatorship ^nn++++=dictatorship
( ^zz++++=(1964
1964 ^cd+date+++=EXTRAWORD
1985 ^cd+date+++=1985)
) ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
methods ^nns++++=methods
employed ^vwbn+++xvbn+=employed
in ^in++++=in
military ^jj++++=military
and ^cc++++=and
police ^nns++++=police
academies ^nns++++=academies.
. ^zz++++=EXTRAWORD
