When ^wrb+who+++=When
considering ^vbg+++xvbg+=considering
faith ^nn++++=faith
formation ^nn++++=formation,
, ^zz++++=EXTRAWORD
two ^cd++++=two
key ^jjb+atrb+++=key
issues ^nns++++=issues
should ^md+nec+++=should
be ^vb+be+aux++=be
addressed ^vpsv++agls+xvbnx+=addressed
from ^in++++=from
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
reflective ^jj++++=reflective,
, ^zz++++=EXTRAWORD
dialogical ^nn+++??+=dialogical
rationality ^nn++++=rationality.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
denominational ^jj++++=denominational
and ^cc++++=and
non ^&fw++++=non-denominational
- ^zz++++=EXTRAWORD
denominational ^jj+atrb+++=EXTRAWORD
schools ^nns++++=schools
within ^in++++=within
a ^at++++=a
given ^jj+atrb++xvbn+=given
region ^nn++++=region
or ^cc++++=or
country ^nn++++=country
must ^md+nec+++=must
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
parental ^jj+atrb+++=parental
rights ^nns++++=rights
regarding ^in++++=regarding
their ^pp$+pp3+++=their
children ^nns++++=children
s ^zz++++=s
specific ^jj+atrb+++=specific
upbringing ^nn++++=upbringing
are ^vb+ber+aux++=are
protected ^vpsv++agls+xvbnx+=protected.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
compulsory ^jj+atrb+++=compulsory
nature ^nn++++=nature
of ^in++++=of
primary ^jj+atrb+++=primary
education ^nn++++=education,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
has ^vbz+hvz+vrb++=has
a ^at++++=a
responsibility ^nn++++=responsibility
to ^to+ncmp+++=to
provide ^vbi+vsua+++=provide
schools ^nns++++=schools
that ^tht+rel+subj++=that
accommodate ^vb++++=accommodate
all ^abn++++=all
children ^nns++++=children
in ^in++++=in
the ^ati++++=the
local ^jj+atrb+++=local
community ^nn++++=community,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
into ^in++++=into
account ^nn++++=account
the ^ati++++=the
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
backgrounds ^nns++++=backgrounds
of ^in++++=of
their ^pp$+pp3+++=their
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
By ^in++++=By
prioritizing ^nn+++??+=prioritizing
geographical ^jj+atrb+++=geographical
factors ^nns++++=factors
over ^in++++=over
religious ^jj+atrb+++=religious
affiliation ^nn++++=affiliation
in ^in++++=in
access ^nn++++=access
to ^in++++=to
public ^jj+atrb+++=public
education ^nn++++=education,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
can ^md+pos+++=can
promote ^vb++++=promote
equitable ^jj+atrb+++=equitable
opportunities ^nns++++=opportunities
for ^in++++=for
democratic ^jj+atrb+++=democratic
participation ^nn++++=participation
in ^in++++=in
an ^at++++=an
educational ^jj+atrb+++=educational
environment ^nn++++=environment
where ^wrb+who+++=where
religious ^jj+atrb+++=religious
traditions ^nns++++=traditions
and ^cc++++=and
ethical ^jj+atrb+++=ethical
values ^nns++++=values
are ^vb+ber+aux++=are
acknowledged ^vpsv++agls+xvbnx+=acknowledged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
students ^nns++++=students
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
engage ^vb++++=engage
in ^in++++=in
the ^ati++++=the
pursuit ^nn++++=pursuit
of ^in++++=of
truth ^nn++++=truth
and ^cc++++=and
moral ^jj+atrb+++=moral
inquiry ^nn++++=inquiry
at ^in++++=at
both ^abx++++=both
cognitive ^nn++++=cognitive
and ^cc++++=and
communal ^jj+atrb+++=communal
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
