Several ^ap++++=Several
prominent ^jj+atrb+++=prominent
international ^jj+atrb+++=international
academic ^jj+atrb+++=academic
rankings ^nns++++=rankings
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
and ^cc++++=and
widely ^rb++++=widely
discussed ^vbd+++xvbn+=discussed
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
( ^zz++++=(Calder
calder ^nn+++??+=EXTRAWORD
n ^zz++++=n,
, ^zz++++=EXTRAWORD
Fran ^np+++??+=Fran
a ^at++++=a,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gon ^np+++??+=Gon
alves ^nns+++??+=alves,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Calder ^np+++??+=Calder
n ^zz++++=n
and ^cc++++=and
Fran ^np+++??+=Fran
a ^at++++=a,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Dill ^np+++??+=Dill
and ^cc++++=and
Soo ^np+++??+=Soo,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Eccles ^np++++=Eccles,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Ganga ^np+++??+=Ganga-Contreras
- ^zz++++=EXTRAWORD
contreras ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
rankings ^nns++++=rankings
began ^vbd+++xvbn+=began
to ^to++++=to
emerge ^vbi++++=emerge
in ^in++++=in
the ^ati++++=the
early ^jj++++=early
21st ^cd++++=21st
century ^nn++++=century
and ^cc++++=and
have ^vb+hv+aux++=have
gained ^vprf+++xvbnx+=gained
increasing ^jj+atrb++xvbg+=increasing
prominence ^nn++++=prominence
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
significant ^jj++++=significant
by ^in++++=by
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
academic ^jj+atrb+++=academic
institutions ^nns++++=institutions
worldwide ^nn+++??+=worldwide.
. ^zz++++=EXTRAWORD
High ^jj++++=High
placement ^&fw++++=placement
in ^in++++=in
