To ^in++++=To
address ^nn++++=address
this ^dt+dem+++=this
issue ^nn++++=issue
and ^cc++++=and
manage ^vb++++=manage
patient ^jj+atrb+++=patient
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
both ^abx++++=both
pharmacological ^jj++++=pharmacological
and ^cc++++=and
non ^&fw++++=non-pharmacological
- ^zz++++=EXTRAWORD
pharmacological ^jj+atrb+++=EXTRAWORD
interventions ^nns++++=interventions
are ^vb+ber+vrb++=are
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
non ^&fw++++=non-pharmacological
- ^zz++++=EXTRAWORD
pharmacological ^jj+atrb+++=EXTRAWORD
methods ^nns++++=methods
alone ^rb++++=alone
are ^vb+ber+vrb++=are
inadequate ^jj+pred+++=inadequate,
, ^zz++++=EXTRAWORD
sedation ^nn+++??+=sedation
techniques ^nns++++=techniques
may ^md+pos+++=may
be ^vb+be+aux++=be
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
achieve ^vbi++++=achieve
the ^ati++++=the
desired ^jj+atrb++xvbn+=desired
level ^nn++++=level
of ^in++++=of
anxiety ^nn++++=anxiety
control ^nn++++=control
( ^zz++++=(Gordon
gordon ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
da ^np++++=da
Cunha ^np+++??+=Cunha
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Minimal ^jj+atrb+++=Minimal
sedation ^nn+++??+=sedation,
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
by ^in++++=by
the ^ati++++=the
American ^jj+atrb+++=American
Dental ^jj+atrb+++=Dental
Association ^nn++++=Association,
, ^zz++++=EXTRAWORD
refers ^vbz++++=refers
to ^in++++=to
a ^at++++=a
minimally ^nn++++=minimally
depressed ^vbd+++xvbn+=depressed
level ^nn++++=level
of ^in++++=of
consciousness ^nn++++=consciousness
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
patient ^nn++++=patient
is ^vbz+bez+vrb++=is
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
maintain ^vb+vpub+++=maintain
airway ^nn++++=airway
control ^nn++++=control
independently ^rb++++=independently
and ^cc++++=and
respond ^vb++++=respond
appropriately ^rb++++=appropriately
to ^in++++=to
physical ^jj+atrb+++=physical
stimulation ^nn++++=stimulation
and ^cc++++=and
verbal ^jj++++=verbal
commands ^vbz+vsua+++=commands
( ^zz++++=(Mancuso
mancuso ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
da ^np++++=da
cunha ^np++++=Cunha
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
