Educational ^jj+atrb+++=Educational
innovation ^nn++++=innovation
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
catalyst ^nn++++=catalyst
for ^in++++=for
entrepreneurship ^nn+++??+=entrepreneurship,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
critical ^jj+atrb+++=critical
component ^nn++++=component
in ^in++++=in
student ^nn++++=student
development ^nn++++=development
and ^cc++++=and
contributes ^vbz++++=contributes
to ^to++++=to
fulfilling ^vbi++++=fulfilling
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
university ^npl++++=university
s ^zz++++=s
core ^nn++++=core
functions ^nns++++=functions:
: ^zz++++=EXTRAWORD
fostering ^nn+++??+=fostering
connections ^nns++++=connections
between ^in++++=between
the ^ati++++=the
university ^nn++++=university
and ^cc++++=and
society ^nn++++=society.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
educational ^jj+atrb+++=educational
innovation ^nn++++=innovation
should ^md+nec+++=should
be ^vb+be+aux++=be
integrated ^vpsv++agls+xvbnx+=integrated
as ^ql++++=as
a ^at++++=a
cross ^jj++++=cross-cutting
- ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=EXTRAWORD
theme ^nn++++=theme
throughout ^in++++=throughout
the ^ati++++=the
curriculum ^nn++++=curriculum
( ^zz++++=(V
v ^zz++++=EXTRAWORD
squez ^nn+++??+=squez,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
incumbent ^nn++++=incumbent
upon ^in++++=upon
educators ^nns++++=educators
to ^to++++=to
promote ^vbi++++=promote
projects ^nns++++=projects
that ^tht+rel+obj++=that
support ^nn++++=support
the ^ati++++=the
achievement ^nn++++=achievement
of ^in++++=of
the ^ati++++=the
learning ^vbg+vprv+tht0+xvbg+=learning
outcomes ^nns++++=outcomes
outlined ^vwbn+++xvbn+=outlined
below ^rb++++=below.
. ^zz++++=EXTRAWORD
