Following ^jj+++xvbg+=Following
the ^ati++++=the
event ^nn++++=event,
, ^zz++++=EXTRAWORD
90.3 ^cd++++=90.3%
% ^zz++++=EXTRAWORD
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
148 ^cd++++=148)
) ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants
underwent ^nn+++??+=underwent
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
testing ^nvbg+++xvbg+=testing;
; ^zz++++=EXTRAWORD
33.6 ^cd++++=33.6%
% ^zz++++=EXTRAWORD
received ^vbd+++xvbn+=received
a ^at++++=a
Pcr ^np+++??+=PCR
test ^nn++++=test,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
56.7 ^cd++++=56.7%
% ^zz++++=EXTRAWORD
received ^vbd+++xvbn+=received
a ^at++++=a
rapid ^jj+atrb+++=rapid
antigen ^nn++++=antigen
test ^nn++++=test.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
41 ^cd++++=41
individuals ^nns++++=individuals
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
positive ^jj++++=positive:
: ^zz++++=EXTRAWORD
35 ^cd++++=35
had ^vb+hv+vrb++=had
a ^at++++=a
positive ^jj+atrb+++=positive
test ^nn++++=test
result ^nn++++=result,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
6 ^zz++++=6
either ^dtx++++=either
had ^vb+hv+vrb++=had
a ^at++++=a
negative ^jj+atrb+++=negative
test ^nn++++=test
result ^nn++++=result
or ^cc++++=or
were ^vbd+bed+aux++=were
not ^xnot++not++=not
tested ^vbd+++xvbn+=tested
but ^cc+phrs+++=but
reported ^vbd+vpub++xvbn+=reported
six ^cd++++=six
symptoms ^nns++++=symptoms
consistent ^jj++++=consistent
with ^in++++=with
covid ^np++++=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
anosmia ^nn++++=anosmia.
. ^zz++++=EXTRAWORD
