Bibliometrics ^np+++??+=Bibliometrics
examines ^vbz++++=examines
the ^ati++++=the
productivity ^nn++++=productivity
of ^in++++=of
scientific ^jj+atrb+++=scientific
and ^cc+phrs+++=and
technological ^jj+atrb+++=technological
entities ^nns++++=entities
by ^in++++=by
analyzing ^nn+++??+=analyzing
bibliographic ^nn+++??+=bibliographic
sources ^nns++++=sources
and ^cc++++=and
patents ^nns++++=patents,
, ^zz++++=EXTRAWORD
identifying ^jj+atrb++xvbg+=identifying
relationships ^nns++++=relationships,
, ^zz++++=EXTRAWORD
organizational ^jj+atrb+++=organizational
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
trends ^nns++++=trends,
, ^zz++++=EXTRAWORD
critical ^jj+atrb+++=critical
points ^nns++++=points,
, ^zz++++=EXTRAWORD
counterpoints ^nns+++??+=counterpoints,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
information ^nn++++=information
relevant ^jj++++=relevant
to ^in++++=to
information ^nn++++=information
management ^nn++++=management
and ^cc++++=and
the ^ati++++=the
dissemination ^nn+++??+=dissemination
of ^in++++=of
scientific ^jj+atrb+++=scientific
outputs ^nns+++??+=outputs
( ^zz++++=(Vasconcelos,
vasconcelos ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
211 ^cd++++=211,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
translation ^nn++++=translation).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
