All ^abn++++=All
actions ^nns++++=actions
in ^in++++=in
the ^ati++++=the
story ^nn++++=story
occur ^vb++++=occur
either ^dtx++++=either
inside ^jjb++++=inside
or ^cc+phrs+++=or
outside ^jjb++++=outside
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
with ^in++++=with
indoor ^jjb+atrb+++=indoor
scenes ^nns++++=scenes
depicted ^vwbn+++xvbn+=depicted
on ^in++++=on
pages ^nns++++=pages
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
9 ^zz++++=9,
, ^zz++++=EXTRAWORD
14 ^cd++++=14,
, ^zz++++=EXTRAWORD
15 ^cd++++=15,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
26 ^cd++++=26
to ^to++++=to
29 ^cd++++=29,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
outdoor ^jjb+atrb+++=outdoor
scenes ^nns++++=scenes
taking ^vwbg+++xvbg+=taking
place ^nn++++=place
immediately ^rb+tm+++=immediately
outside ^jjb++++=outside
the ^ati++++=the
house ^nn++++=house
( ^zz++++=(pages
pages ^nns++++=EXTRAWORD
10 ^cd++++=10
and ^cc++++=and
11 ^cd++++=11),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
park ^npl++++=park
( ^zz++++=(pages
pages ^nns++++=EXTRAWORD
16 ^cd++++=16
and ^cc++++=and
17 ^cd++++=17),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
stream ^nn++++=stream
( ^zz++++=(pages
pages ^nns++++=EXTRAWORD
20 ^cd++++=20
and ^cc++++=and
21 ^cd++++=21),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
countryside ^nn++++=countryside
( ^zz++++=(pages
pages ^nns++++=EXTRAWORD
22 ^cd++++=22
to ^to++++=to
25 ^cd++++=25).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
recurring ^jj+atrb+++=recurring
appearance ^nn++++=appearance
of ^in++++=of
the ^ati++++=the
kettle ^nn++++=kettle
on ^in++++=on
pages ^nns++++=pages
9 ^zz++++=9
and ^cc++++=and
12 ^cd++++=12
serves ^vbz++++=serves
as ^in++++=as
an ^at++++=an
indicator ^vb++++=indicator
that ^tht+vcmp+obj++=that
the ^ati++++=the
setting ^nvbg+++xvbg+=setting
is ^vbz+bez+vrb++=is
the ^ati++++=the
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sitting ^jj+atrb++xvbg+=sitting
room ^nn++++=room
is ^vbz+bez+vrb++=is
the ^ati++++=the
primary ^jj+atrb+++=primary
location ^nn++++=location
for ^in++++=for
most ^ql+emph+++=most
indoor ^jjb+atrb+++=indoor
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
on ^in++++=on
pages ^nns++++=pages
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
14 ^cd++++=14,
, ^zz++++=EXTRAWORD
15 ^cd++++=15,
, ^zz++++=EXTRAWORD
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
19 ^cd++++=19.
. ^zz++++=EXTRAWORD
