As ^in++++=As
the ^ati++++=the
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
below ^rb++++=below
indicate ^vb+vprv+++=indicate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
policy ^nn++++=policy
dismantling ^nn++++=dismantling
in ^in++++=in
Brazil ^np++++=Brazil
has ^vbz+hvz+aux++=has
involved ^vprf+++xvbnx+=involved
the ^ati++++=the
reduction ^nn++++=reduction
or ^cc++++=or
reorganization ^nn++++=reorganization
of ^in++++=of
bureaucratic ^jj+atrb+++=bureaucratic
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
numerous ^jj+atrb+++=numerous
reports ^nns++++=reports
from ^in++++=from
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
experienced ^vprf+++xvbnx+=experienced
situations ^nns++++=situations
that ^tht+rel+subj++=that
resulted ^vprf+++xvbn+=resulted,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
directly ^rb++++=directly
or ^cc+phrs+++=or
indirectly ^rb+cnj+++=indirectly,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
departure ^nn++++=departure
from ^in++++=from
public ^jj+atrb+++=public
service ^nn++++=service.
. ^zz++++=EXTRAWORD
