Table ^nn++++=Table
5 ^zz++++=5
presents ^vbz++++=presents
the ^ati++++=the
final ^jj+atrb+++=final
compilation ^nn++++=compilation
of ^in++++=of
theses ^nns++++=theses
and ^cc++++=and
dissertations ^nns+++??+=dissertations
titles ^nns++++=titles
completed ^vbd+++xvbn+=completed
at ^rb++++=at
higher ^jjr+atrb+++=higher
education ^nn++++=education
institutions ^nns++++=institutions
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
collection ^nn++++=collection
constitutes ^vbz++++=constitutes
a ^at++++=a
valuable ^jj+atrb+++=valuable
data ^nns++++=data
source ^nn++++=source
for ^in++++=for
researchers ^nns+++??+=researchers
focusing ^nn+++??+=focusing
on ^in++++=on
translation ^nn++++=translation
studies ^nns++++=studies
within ^in++++=within
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
examining ^jj+++xvbg+=examining
the ^ati++++=the
translation ^nn++++=translation
of ^in++++=of
medical ^jj+atrb+++=medical
texts ^nns++++=texts.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
provides ^vbz+vsua+++=provides
a ^at++++=a
reliable ^jj+atrb+++=reliable
basis ^nn++++=basis
for ^in++++=for
analyzing ^nn+++??+=analyzing
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
investigated ^vbd+++xvbn+=investigated
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
may ^md+pos+++=may
help ^vb++++=help
identify ^vb++++=identify
potential ^jj+atrb+++=potential
gaps ^nns++++=gaps
in ^in++++=in
research ^nn++++=research
on ^in++++=on
medical ^jj+atrb+++=medical
translation ^nn++++=translation.
. ^zz++++=EXTRAWORD
