Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
instant ^nn++++=instant
and ^cc++++=and
on ^in++++=on-demand
- ^zz++++=EXTRAWORD
demand ^vb++++=EXTRAWORD
nature ^nn++++=nature
of ^in++++=of
interactions ^nns++++=interactions
via ^in++++=via
Whatsapp ^np+++??+=WhatsApp,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua+tht0+xvbg+=teaching
presence ^nn++++=presence
was ^vbd+bedz+aux++=was
demonstrated ^vpsv++agls+xvbnx+=demonstrated
not ^xnot++not++=not
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
instructors ^nns++++=instructors
but ^cc++++=but
also ^rb++++=also
by ^in++++=by
course ^nn++++=course
participants ^nns++++=participants
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
available ^jj+pred+++=available
and ^cc+phrs+++=and
willing ^jj++++=willing
to ^to+jcmp+++=to
contribute ^vbi++++=contribute.
. ^zz++++=EXTRAWORD
Throughout ^in++++=Throughout
the ^ati++++=the
course ^nn++++=course,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Mobile ^jj+atrb+++=Mobile
Phone ^nn++++=Phone
emoji ^nn+++??+=emoji
was ^vbd+bedz+aux++=was
consistently ^rb++splt++=consistently
used ^vpsv++by+xvbnx+=used
by ^in++++=by
teachers ^nns++++=teachers
and ^cc++++=and
tutors ^nns++++=tutors
when ^wrb+who+++=when
interacting ^jj++++=interacting
with ^in++++=with
the ^ati++++=the
group ^nn++++=group.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
help ^vbi++++=help
participants ^nns++++=participants
easily ^rb++++=easily
identify ^vb++++=identify
posts ^nns++++=posts,
, ^zz++++=EXTRAWORD
tasks ^nns++++=tasks,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
interventions ^nns++++=interventions
originating ^nn+++??+=originating
from ^in++++=from
the ^ati++++=the
instructors ^nns++++=instructors,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
the ^ati++++=the
recognition ^nn++++=recognition
of ^in++++=of
a ^at++++=a
specific ^jj+atrb+++=specific
digital ^jj+atrb+++=digital
genre ^nn++++=genre.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
this ^dt+dem+++=this
emoji ^nn+++??+=emoji
was ^vbd+bedz+vrb++=was
a ^at++++=a
predetermined ^jj+atrb++xvbn+=predetermined
pedagogical ^jj+atrb+++=pedagogical
strategy ^nn++++=strategy
rather ^rb++++=rather
than ^in++++=than
an ^at++++=an
emergent ^nn+++??+=emergent
feature ^nn++++=feature
of ^in++++=of
participant ^nn++++=participant
interaction ^nn++++=interaction,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
coded ^vbd+++xvbn+=coded
as ^ql++++=as
teaching ^vbg+vsua+++=teaching
presence ^nn++++=presence
and ^cc++++=and
was ^vbd+bedz+aux++=was
excluded ^vpsv++agls+xvbn+=excluded
from ^in++++=from
related ^xvbn+++xvbn+=related
analyses ^nns++++=analyses.
. ^zz++++=EXTRAWORD
