Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
In ^in++++=In
May ^md+pos+++=May
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
a ^at++++=a
private ^jj+atrb+++=private
indoor ^jjb+atrb+++=indoor
event ^nn++++=event
attended ^vwbn+++xvbn+=attended
by ^in++++=by
high ^jj+atrb+++=high
school ^nn++++=school
adolescents ^nns++++=adolescents
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
superspreading ^nn+++??+=superspreading
incident ^nn++++=incident.
. ^zz++++=EXTRAWORD
An ^at++++=An
anonymous ^jj+atrb+++=anonymous
questionnaire ^nn++++=questionnaire
was ^vbd+bedz+aux++=was
distributed ^vpsv++agls+xvbnx+=distributed
to ^in++++=to
all ^abn++++=all
individuals ^nns++++=individuals
invited ^vwbn+++xvbn+=invited
to ^in++++=to
the ^ati++++=the
event ^nn++++=event
to ^to++++=to
collect ^vbi++++=collect
information ^nn++++=information
on ^in++++=on
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
prior ^jj+atrb+++=prior
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
vaccination ^nn++++=vaccination
status ^nn++++=status,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behaviors ^nns+++??+=behaviors
during ^in++++=during
the ^ati++++=the
event ^nn++++=event.
. ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
were ^vbd+bed+vrb++=were
categorized ^nn+++??+=categorized
into ^in++++=into
two ^cd++++=two
groups ^nns++++=groups:
: ^zz++++=EXTRAWORD
vaccinated ^nn+++??+=vaccinated
and ^cc++++=and
unvaccinated ^nn+++??+=unvaccinated
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
A ^at++++=A
sample ^nn++++=sample
from ^in++++=from
a ^at++++=a
fully ^rb+amp+++=fully
vaccinated ^jj+atrb++??+=vaccinated
symptomatic ^jj+atrb+++=symptomatic
participant ^nn++++=participant
was ^vbd+bedz+aux++=was
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
genomic ^nn+++??+=genomic
sequencing ^nn+++??+=sequencing.
. ^zz++++=EXTRAWORD
General ^jj+atrb+++=General
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
groups ^nns++++=groups
were ^vbd+bed+aux++=were
summarized ^vpsv++agls+xvbnx+=summarized
using ^vbg+++xvbg+=using
both ^abx++++=both
categorical ^jj+atrb+++=categorical
and ^cc+phrs+++=and
continuous ^jj+atrb+++=continuous
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
The ^ati++++=The
incidence ^nn++++=incidence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
each ^dt++++=each
group ^nn++++=group
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
positive ^jj+atrb+++=positive
cases ^nns++++=cases
divided ^vwbn+++xvbn+=divided
by ^in++++=by
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
individuals ^nns++++=individuals
in ^in++++=in
the ^ati++++=the
group ^nn++++=group,
, ^zz++++=EXTRAWORD
multiplied ^vwbn+++xvbn+=multiplied
by ^in++++=by
100 ^cd++++=100.
. ^zz++++=EXTRAWORD
