Our ^pp$+pp1+++=Our
findings ^nns++++=findings
indicating ^vwbg+vprv++xvbg+=indicating
higher ^jjr++++=higher
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
lethality ^nn+++??+=lethality
among ^in++++=among
hospitalized ^nn+++??+=hospitalized
patients ^nns++++=patients
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
compared ^vbd+++xvbn+=compared
to ^in++++=to
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
capitals ^nns++++=capitals
and ^cc++++=and
interior ^jj+atrb+++=interior
regions ^nns++++=regions
of ^in++++=of
the ^ati++++=the
states ^nns++++=states,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
mortality ^nn++++=mortality
rates ^nns++++=rates
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
the ^ati++++=the
Epidemiological ^np+++??+=Epidemiological
Monitor ^nn++++=Monitor
of ^in++++=of
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
recent ^jj+atrb+++=recent
study ^nn++++=study
utilizing ^nn+++??+=utilizing
Sivep ^np+++??+=SIVEP-Gripe
- ^zz++++=EXTRAWORD
gripe ^nn+++??+=EXTRAWORD
data ^nns++++=data
from ^in++++=from
March ^nn++++=March
2020 ^cd++++=2020
to ^in++++=to
January ^nr++++=January
2021 ^cd++++=2021
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
age ^nn++++=age-standardized
- ^zz++++=EXTRAWORD
standardized ^nn+++??+=EXTRAWORD
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
was ^vbd+bedz+vrb++=was
56 ^cd++++=56%
% ^zz++++=EXTRAWORD
higher ^jjr++++=higher
than ^cs+sub+++=than
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
demonstrated ^vbd+vprv++xvbn+=demonstrated
that ^tht+vcmp+++=that
Sivep ^np+++??+=SIVEP-Gripe
- ^zz++++=EXTRAWORD
gripe ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
reliable ^jj+atrb+++=reliable
source ^nn++++=source
for ^in++++=for
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
data ^nns++++=data
and ^cc++++=and
that ^tht+vcmp+++=that
age ^nn++++=age-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates
are ^vb+ber+vrb++=are
consistently ^rb++++=consistently
higher ^jjr+pred+++=higher
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
across ^in+pl+++=across
all ^abn++++=all
age ^nn++++=age
groups ^nns++++=groups
when ^wrb+who+++=when
compared ^vbd+++xvbn+=compared
to ^in++++=to
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo.
. ^zz++++=EXTRAWORD
