As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
few ^ap++++=few
instances ^nns++++=instances
of ^in++++=of
affection ^nn++++=affection
between ^in++++=between
the ^ati++++=the
fathers ^nns++++=fathers
in ^in++++=in
Me ^pp1o+pp1+++=Me,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy
& ^zz++++=&
Dad ^npt++++=Dad
( ^zz++++=(2017).
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
physical ^jj+atrb+++=physical
contact ^nn++++=contact
occurs ^vbz++++=occurs
more ^rbr++++=more
frequently ^rb++++=frequently
between ^in++++=between
Daddy ^npt++++=Daddy
and ^cc++++=and
the ^ati++++=the
child ^nn++++=child
than ^in++++=than
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
fathers ^nns++++=fathers.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
one ^cd1++++=one
father ^nn++++=father
demonstrates ^vbz+vpub+++=demonstrates
more ^rbr++++=more
affection ^nn++++=affection
than ^in++++=than
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
further ^jjb++++=further
reveals ^vbz+vprv+tht0++=reveals
that ^tht+vcmp+++=that
limited ^vbd+++xvbn+=limited
contact ^nn++++=contact
between ^in++++=between
the ^ati++++=the
fathers ^nns++++=fathers
corresponds ^vbz++++=corresponds
with ^in++++=with
the ^ati++++=the
infrequent ^jj+atrb+++=infrequent
occasions ^nns++++=occasions
on ^in++++=on
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
depicted ^vpsv++agls+xvbn+=depicted
together ^rb++++=together
in ^in++++=in
the ^ati++++=the
illustrations ^nns++++=illustrations.
. ^zz++++=EXTRAWORD
