Administration ^nn++++=Administration
of ^in++++=of
valerian ^nn+++??+=valerian
extract ^nn++++=extract
at ^rb++++=at
a ^at++++=a
dose ^nn++++=dose
of ^in++++=of
12 ^cd++++=12
mg ^nnu++++=mg/kg
body ^nn++++=body
weight ^nn++++=weight
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
reverse ^vb++++=reverse
the ^ati++++=the
anxiogenic ^nn+++??+=anxiogenic
effects ^nns++++=effects
associated ^vbd+++xvbn+=associated
with ^in++++=with
diazepam ^nn+++??+=diazepam
withdrawal ^nn++++=withdrawal
in ^in++++=in
rats ^nns++++=rats,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
andreatini ^np++++=Andreatini
and ^cc++++=and
leite ^np++++=Leite
( ^zz++++=(1994).
1994 ^cd+date+++=EXTRAWORD
). ^nn++++=EXTRAWORD
