As ^in++++=As
indicated ^nn++++=indicated
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Clapping ^np+++??+=Clapping
Hands ^nns++++=Hands
emoji ^nn+++??+=emoji
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
used ^vbd+++xvbn+=used
emoji ^nn+++??+=emoji
associated ^vbd+++xvbn+=associated
with ^in++++=with
supporting ^xvbg+++xvbg+=supporting
cognitive ^nn+++??+=cognitive
presence ^nn++++=presence.
. ^zz++++=EXTRAWORD
To ^in++++=To
further ^jjb++++=further
examine ^vb++++=examine
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
emojis ^vbz+++??+=emojis
contributed ^vprf+++xvbn+=contributed
to ^in++++=to
cognitive ^jj+atrb++??+=cognitive
presence ^nn++++=presence,
, ^zz++++=EXTRAWORD
detailed ^jj+atrb+++=detailed
excerpts ^nns++++=excerpts
from ^in++++=from
the ^ati++++=the
Whatsapp ^np+++??+=WhatsApp
course ^nn++++=course
interactions ^nns++++=interactions
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
example ^nn++++=example
from ^in++++=from
Group ^nn++++=Group
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
coded ^xvbn+++xvbn+=coded
as ^in++++=as
integration ^nn++++=integration,
, ^zz++++=EXTRAWORD
illustrates ^vbz+vpub+++=illustrates
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
this ^dt+dem+++=this
emoji ^nn+++??+=emoji
by ^in++++=by
Participant ^nn++++=Participant
C ^zz++++=C
after ^cs+sub+++=after
being ^nn+nn+aux++=being
motivated ^vwbn+++xvbn+=motivated
by ^in++++=by
peers ^nns++++=peers
to ^to++++=to
develop ^vbi++++=develop
his ^pp$+pp3+++=his
own ^ap++++=own
class ^nn++++=class
materials ^nns++++=materials.
. ^zz++++=EXTRAWORD
