As ^in++++=As
a ^at++++=a
consequence ^nn++++=consequence
of ^in++++=of
the ^ati++++=the
processes ^nns++++=processes
outlined ^vbd+++xvbn+=outlined
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
a ^at++++=a
significant ^jj+atrb+++=significant
number ^nn++++=number
of ^in++++=of
federal ^jj+atrb+++=federal
bureaucrats ^nns++++=bureaucrats
are ^vb+ber+aux++=are
no ^at++++=no
longer ^rbr++++=longer
employed ^vbd+++xvbn+=employed
within ^in++++=within
their ^pp$+pp3+++=their
original ^jj+atrb+++=original
areas ^nns++++=areas
of ^in++++=of
expertise ^nn++++=expertise.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
many ^ap++++=many
have ^vb+hv+aux++=have
transferred ^vprf+++xvbnx+=transferred
to ^in++++=to
agencies ^nns++++=agencies
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
experience ^nn++++=experience
reduced ^vwbn+++xvbn+=reduced
public ^jj+atrb+++=public
visibility ^nn++++=visibility
and ^cc++++=and
increased ^jj+atrb++xvbn+=increased
institutional ^jj+atrb+++=institutional
protection ^nn++++=protection.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
organizations ^nns++++=organizations,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
technical ^jj+atrb+++=technical
nature ^nn++++=nature
of ^in++++=of
their ^pp$+pp3+++=their
mandates ^nns+++??+=mandates,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
less ^rbr++++=less
politically ^rb++++=politically
exposed ^jj+++xvbn+=exposed
and ^cc++++=and
have ^vb+hv+aux++=have
consequently ^rb+cnj+splt++=consequently
become ^vb++++=become
preferred ^vbd+++xvbn+=preferred
destinations ^nns+++??+=destinations
for ^in++++=for
bureaucrats ^nns++++=bureaucrats
seeking ^vb+++xvbg+=seeking
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
potential ^jj+atrb+++=potential
professional ^jj+atrb+++=professional
risks ^nns++++=risks.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
institutions ^nns++++=institutions
have ^vb+hv+aux++=have
attracted ^vprf+++xvbnx+=attracted
individuals ^nns++++=individuals
from ^in++++=from
career ^nn++++=career
tracks ^nns++++=tracks
characterized ^nn+++??+=characterized
by ^in++++=by
higher ^jjr+atrb+++=higher
mobility ^nn++++=mobility,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
Eppgg ^np+++??+=EPPGG.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
diplomats ^nns+++??+=diplomats,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
marked ^jj+atrb++xvbn+=marked
increase ^nn++++=increase
in ^in++++=in
demand ^nn++++=demand
for ^in++++=for
assignments ^nns++++=assignments
outside ^in+cmpx+++=outside
of ^in"++++=of
Bras ^np+++??+=Bras
lia ^nn+++??+=lia,
, ^zz++++=EXTRAWORD
with ^in++++=with
unprecedented ^jj+atrb+++=unprecedented
interest ^nn++++=interest
in ^in++++=in
positions ^nns++++=positions
traditionally ^rb++++=traditionally
considered ^vbd+vprv++xvbn+=considered
less ^rbr++++=less
desirable ^jj++++=desirable,
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+dem+++=those
classified ^vpsv++agls+xvbn+=classified
as ^ql++++=as
c ^zz++++=C
and ^cc++++=and
d ^zz++++=D
posts ^nns++++=posts.
. ^zz++++=EXTRAWORD
