Among ^in++++=Among
the ^ati++++=the
studies ^nns++++=studies
identified ^vwbn+++xvbn+=identified
using ^vbg+++xvbg+=using
the ^ati++++=the
keywords ^nns+++??+=keywords
tradu ^nn+++??+=tradu
o ^zz++++=o
artigos ^nns+++??+=artigos
cient ^nn+++??+=cient
ficos ^nns+++??+=ficos
( ^zz++++=(translation
translation ^nn++++=EXTRAWORD
scientific ^jj+atrb+++=scientific
articles ^nns++++=articles),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
except ^in++++=except
one ^cd1++++=one
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
previous ^jj+atrb+++=previous
search ^nn++++=search,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
used ^vbd+++xvbn+=used
the ^ati++++=the
keywords ^nns+++??+=keywords
tradu ^nn+++??+=tradu
o ^zz++++=o
m ^zz++++=m
dica ^nn+++??+=dica
( ^zz++++=(medical
medical ^jj+atrb+++=EXTRAWORD
translation ^nn++++=translation).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
a ^at++++=a
total ^nn++++=total
of ^in++++=of
seven ^cd++++=seven
studies ^nns++++=studies
were ^vbd+bed+aux++=were
retrieved ^vpsv++agls+xvbnx+=retrieved
from ^in++++=from
the ^ati++++=the
Bdtd ^np+++??+=BDTD
website ^nn+++??+=website.
. ^zz++++=EXTRAWORD
Details ^nns++++=Details
regarding ^in++++=regarding
their ^pp$+pp3+++=their
year ^nn++++=year
of ^in++++=of
publication ^nn++++=publication,
, ^zz++++=EXTRAWORD
title ^nn++++=title,
, ^zz++++=EXTRAWORD
area ^nn++++=area
of ^in++++=of
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
institution ^nn++++=institution,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
author ^nn++++=author
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
