To ^in++++=To
address ^nn++++=address
this ^dt+dem+++=this
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
an ^at++++=an
alternative ^jj+atrb+++=alternative
method ^nn++++=method
for ^in++++=for
general ^jj+atrb+++=general
evaluation ^nn++++=evaluation
is ^vbz+bez+aux++=is
proposed ^vpsv++agls+xvbnx+=proposed,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
involves ^vbz++++=involves
first ^rb++++=first
calculating ^jj+++xvbg+=calculating
the ^ati++++=the
average ^jj+atrb+++=average
scores ^nns++++=scores
within ^in++++=within
each ^dt++++=each
Dimension ^nn++++=Dimension,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
computing ^j++++=computing
the ^ati++++=the
overall ^jjb++++=overall
average ^jj++++=average
using ^jj+++xvbg+=using
the ^ati++++=the
mean ^jj+atrb+++=mean
scores ^nns++++=scores
of ^in++++=of
each ^dt++++=each
Dimension ^nn++++=Dimension.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
assigns ^vbz++++=assigns
equal ^jj+atrb+++=equal
weight ^nn++++=weight
to ^in++++=to
each ^dt++++=each
Dimension ^nn++++=Dimension
while ^cs+sub+++=while
allowing ^vbg+++xvbg+=allowing
for ^in+ppvb+++=for
different ^jj+atrb+++=different
weights ^nns++++=weights
to ^to++++=to
be ^vbi++vrb++=be
applied ^jj+pred+++=applied
to ^to++++=to
the ^ati++++=the
individual ^jj+atrb+++=individual
indicators ^nns++++=Indicators.
. ^zz++++=EXTRAWORD
