Among ^in++++=Among
the ^ati++++=the
41 ^cd++++=41
adolescents ^nns++++=adolescents
diagnosed ^vwbn+++xvbn+=diagnosed
with ^in++++=with
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
75.6 ^cd++++=75.6%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
no ^at++++=no
secondary ^jj+atrb+++=secondary
infections ^nns++++=infections
occurred ^vbd+++xvbn+=occurred
among ^in++++=among
their ^pp$+pp3+++=their
close ^jj+atrb+++=close
contacts ^nns++++=contacts,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
19.6 ^cd+date+++=19.6%
% ^zz++++=EXTRAWORD
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
transmitted ^vbd+++xvbnx+=transmitted
the ^ati++++=the
infection ^nn++++=infection
to ^to++++=to
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
additional ^jj+atrb+++=additional
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
contact ^nn++++=contact
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
73.2 ^cd++++=73.2%
% ^zz++++=EXTRAWORD
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
contact ^nn++++=contact
with ^in++++=with
other ^ap++++=other
persons ^nns++++=persons
during ^in++++=during
their ^pp$+pp3+++=their
illness ^nn++++=illness,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
7.3 ^cd++++=7.3%
% ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=reported
contact ^nn++++=contact
with ^in++++=with
three ^cd++++=three
to ^to++++=to
four ^cd++++=four
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
7.3 ^cd++++=7.3%
% ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=reported
contact ^nn++++=contact
with ^in++++=with
five ^cd++++=five
to ^to++++=to
six ^cd++++=six
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
No ^at++++=No
hospitalizations ^nns++++=hospitalizations
or ^cc++++=or
deaths ^nns++++=deaths
were ^vbd+bed+aux++=were
reported ^vbn+vpub+++=reported
among ^in++++=among
the ^ati++++=the
adolescents ^nns++++=adolescents
or ^cc++++=or
their ^pp$+pp3+++=their
close ^jj+atrb+++=close
contacts ^nns++++=contacts.
. ^zz++++=EXTRAWORD
