Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
successfully ^rb++++=successfully
determined ^jj+++xvbn+=determined
the ^ati++++=the
seroprevalence ^nn+++??+=seroprevalence
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
findings ^nns++++=findings
provide ^vb+vsua+++=provide
a ^at++++=a
basis ^nn++++=basis
for ^in++++=for
further ^jjb+atrb+++=further
analyses ^nns++++=analyses
of ^in++++=of
population ^nn++++=population
health ^nn++++=health
conditions ^nns++++=conditions
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
social ^jj+atrb+++=social
isolation ^nn++++=isolation
and ^cc++++=and
infection ^nn++++=infection
risk ^nn++++=risk.
. ^zz++++=EXTRAWORD
