Anxiety ^nn++++=Anxiety
among ^in++++=among
dental ^jj+atrb+++=dental
patients ^nns++++=patients
presents ^nns++++=presents
challenges ^vbz++++=challenges
for ^in++++=for
both ^abx++++=both
practitioners ^nns++++=practitioners
and ^cc++++=and
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
prompting ^nn++++=prompting
ongoing ^nn+++??+=ongoing
research ^nn++++=research
into ^in++++=into
effective ^jj+atrb+++=effective
management ^nn++++=management
strategies ^nns+++??+=strategies
to ^to++++=to
enhance ^vbi++++=enhance
patient ^nn++++=patient
cooperation ^nn++++=cooperation
during ^in++++=during
dental ^jj+atrb+++=dental
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
review ^vb++++=review
the ^ati++++=the
literature ^nn++++=literature
regarding ^in++++=regarding
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
herbal ^jj+atrb+++=herbal
medicines ^nns++++=medicines
for ^in++++=for
the ^ati++++=the
control ^nn++++=control
of ^in++++=of
dental ^jj+atrb+++=dental
anxiety ^nn++++=anxiety.
. ^zz++++=EXTRAWORD
A ^at++++=A
comprehensive ^jj+atrb+++=comprehensive
bibliographic ^nn+++??+=bibliographic
search ^nn++++=search
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
the ^ati++++=the
databases ^nns+++??+=databases
Sciencedirect ^np+++??+=ScienceDirect,
, ^zz++++=EXTRAWORD
Web ^nn++++=Web
of ^in++++=of
Science ^nn++++=Science,
, ^zz++++=EXTRAWORD
Scielo ^np+++??+=Scielo,
, ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
The ^ati++++=The
Cochrane ^np+++??+=Cochrane
Library ^nn++++=Library,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
57 ^cd++++=57
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn++++=evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
Valeriana ^np+++??+=Valeriana
officinalis ^nns+++??+=officinalis
and ^cc++++=and
Passiflora ^np+++??+=Passiflora
incarnata ^nn+++??+=incarnata
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
extensively ^rb++++=extensively
studied ^vbd+++xvbn+=studied
herbal ^jj+atrb+++=herbal
medicines ^nns++++=medicines
for ^in++++=for
anxiety ^nn++++=anxiety
control ^nn++++=control
and ^cc++++=and
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
relatively ^rb++++=relatively
few ^ap++++=few
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
these ^dt+dem+++=these
agents ^nns++++=agents
demonstrate ^vb+vprv+++=demonstrate
relative ^jj+atrb+++=relative
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
efficacy ^nn++++=efficacy,
, ^zz++++=EXTRAWORD
lower ^jjr+atrb+++=lower
cost ^nn++++=cost,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reduced ^xvbn+++xvbn+=reduced
concentrations ^nns++++=concentrations
of ^in++++=of
active ^jj+atrb+++=active
ingredients ^nns++++=ingredients
with ^in++++=with
favorable ^&fw++++=favorable
outcomes ^nns+++??+=outcomes
and ^cc++++=and
fewer ^ap++++=fewer
side ^nn++++=side
effects ^nns++++=effects
compared ^vbd+++xvbn+=compared
to ^in++++=to
benzodiazepines ^nns+++??+=benzodiazepines.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
research ^nn++++=research
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
clarify ^vbi++++=clarify
their ^pp$+pp3+++=their
actual ^jj+atrb+++=actual
effectiveness ^nn++++=effectiveness,
, ^zz++++=EXTRAWORD
optimal ^jj+atrb+++=optimal
dosage ^nn++++=dosage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
potential ^jj+atrb+++=potential
side ^nn++++=side
effects ^nns++++=effects
when ^wrb+who+++=when
used ^vpsv++agls+xvbn+=used
for ^in++++=for
conscious ^jj+atrb+++=conscious
sedation ^nn++++=sedation
in ^in++++=in
dentistry ^nn++++=dentistry.
. ^zz++++=EXTRAWORD
