Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
functions ^nns++++=functions
as ^in++++=as
the ^ati++++=the
written ^jj+atrb++xvbn+=written
theme ^nn++++=theme
in ^in++++=in
three ^cd++++=three
instances ^nns++++=instances
( ^zz++++=(4.68%)
4.68 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
as ^ql++++=as
Max ^np++++=Max
and ^cc++++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
two ^cd++++=two
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
. ^zz++++=.
This ^dt+pdem+++=This
aligns ^vbz+++??+=aligns
with ^in++++=with
his ^pp$+pp3+++=his
visual ^jj+atrb+++=visual
thematization ^nn+++??+=thematization,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
prominently ^rb++splt++=prominently
positioned ^vpsv++agls+xvbnx+=positioned
in ^in++++=in
the ^ati++++=the
right ^jj++++=right-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
corner ^nn++++=corner
of ^in++++=of
page ^nn++++=page
24 ^cd++++=24.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thematic ^jj+atrb+++=thematic
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
dog ^nn++++=dog
serves ^vbz++++=serves
to ^to++++=to
assign ^vbi++++=assign
him ^pp3o+pp3+++=him
significance ^nn++++=significance
within ^in++++=within
the ^ati++++=the
narrative ^nn++++=narrative.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Max ^np++++=Max
is ^vbz+bez+vrb++=is
visually ^rb++++=visually
foregrounded ^nn+++??+=foregrounded
by ^in++++=by
being ^nn+nn+aux++=being
depicted ^vwbn+++xvbn+=depicted
in ^in++++=in
front ^nn++++=front
of ^in++++=of
Emily ^np+++??+=Emily
during ^in++++=during
the ^ati++++=the
initial ^jj+atrb+++=initial
scene ^nn++++=scene
in ^in++++=in
which ^whp+rel+pied++=which
all ^abn++++=all
characters ^nns++++=characters
appear ^vb+seem+++=appear
together ^rb++++=together.
. ^zz++++=EXTRAWORD
