With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
research ^nn++++=research
component ^nn++++=component,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
postgraduate ^jjb+atrb+++=postgraduate
program ^nn+++??+=program
aligns ^nns+++??+=aligns
with ^in++++=with
Research ^nn++++=Research
Line ^nn++++=Line
16 ^cd++++=16:
: ^zz++++=EXTRAWORD
Ict ^np+++??+=ICT
in ^in++++=in
Education ^nn++++=Education,
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
by ^in++++=by
Unach ^np+++??+=UNACH
( ^zz++++=(2020).
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
both ^abx++++=both
formative ^jj+atrb+++=formative
and ^cc+phrs+++=and
scientific ^jj+atrb+++=scientific
research ^nn++++=research
activities ^nns++++=activities
can ^md+pos+++=can
be ^vb+be+aux++=be
developed ^vpsv++agls+xvbnx+=developed
as ^ql++++=as
projects ^nns++++=projects
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
directly ^rb++splt++=directly
related ^vpsv++agls+xvbn+=related
to ^in++++=to
the ^ati++++=the
objectives ^nns++++=objectives
of ^in++++=of
the ^ati++++=the
postgraduate ^jjb+atrb+++=postgraduate
program ^nn++++=program.
. ^zz++++=EXTRAWORD
