A ^at++++=A
comparison ^nn++++=comparison
of ^in++++=of
the ^ati++++=the
results ^nns++++=results
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Tables ^nns++++=Tables
2 ^zz++++=2
and ^cc++++=and
3 ^zz++++=3
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
participants ^nns++++=participants
responses ^nns++++=responses
were ^vbd+bed+aux++=were
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
biased ^vbd+++xvbn+=biased
sentences ^nns++++=sentences.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
verb ^nn++++=verb
combination ^nn++++=combination
aligned ^vwbn+++xvbn+=aligned
with ^in++++=with
a ^at++++=a
preference ^nn++++=preference
for ^in++++=for
Pas ^&fw++++=PAS
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
anaphora ^nn+++??+=anaphora,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
percentages ^nns++++=percentages
increased ^vbd+++xvbn+=increased.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
verb ^nn++++=verb
combination ^nn++++=combination
favored ^nn+++??+=favored
a ^at++++=a
preference ^nn++++=preference
contrary ^in+cmpx+++=contrary
to ^in"++++=to
Pas ^&fw++++=PAS,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
cataphora ^nn+++??+=cataphora,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
choices ^nns++++=choices
shifted ^vbd+++xvbn+=shifted
accordingly ^rb++++=accordingly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
participants ^nns++++=participants
were ^vbd+bed+aux++=were
generally ^rb+down+splt++=generally
more ^rbr++++=more
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
semantic ^jj+atrb+++=semantic
factors ^nns++++=factors
than ^in++++=than
by ^in++++=by
syntactic ^jj+atrb+++=syntactic
ones ^cd1s++++=ones
when ^wrb+who+++=when
resolving ^jj+atrb+++=resolving
ambiguous ^jj+atrb+++=ambiguous
anaphora ^nn+++??+=anaphora,
, ^zz++++=EXTRAWORD
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
Brazilian ^jj+atrb+++=Brazilian
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
continued ^vbd+++xvbn+=continued
to ^to++++=to
be ^vbi+vbi+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
Pas ^&fw++++=PAS
in ^in++++=in
instances ^nns++++=instances
where ^wrb+who+++=where
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
ellipsis ^nns+++??+=ellipsis
in ^in++++=in
the ^ati++++=the
subject ^nn++++=subject
position ^nn++++=position.
. ^zz++++=EXTRAWORD
As ^in++++=As
observed ^nn++++=observed
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
Table ^nn++++=Table
3 ^zz++++=3
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
alternative ^nn++++=alternative
" ^zz++++="other"
other ^ap++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
only ^rb+down+++=only
when ^wrb+who+++=when
the ^ati++++=the
anaphor ^nn+++??+=anaphor
was ^vbd+bedz+vrb++=was
a ^at++++=a
pronoun ^nn++++=pronoun,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
cataphoric ^nn+++??+=cataphoric
contexts ^nns++++=contexts;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
option ^nn++++=option
was ^vbd+bedz+vrb++=was
chosen ^jj+pred+++=chosen
exclusively ^rb++++=exclusively
by ^in++++=by
portuguese ^jj+atrb+++=Portuguese
students ^nns++++=students.
. ^zz++++=EXTRAWORD
