Despite ^in++++=Despite
the ^ati++++=the
inherent ^jj+atrb+++=inherent
limitations ^nns++++=limitations
in ^in++++=in
the ^ati++++=the
diagnostic ^nn+++??+=diagnostic
efficacy ^nn++++=efficacy
of ^in++++=of
rapid ^jj+atrb+++=rapid
serological ^jj+atrb+++=serological
tests ^nns++++=tests
for ^in++++=for
detecting ^jj+atrb+++=detecting
antibodies ^nns++++=antibodies
against ^in++++=against
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
use ^nn++++=use
was ^vbd+bedz+vrb++=was
effective ^jj+pred+++=effective
in ^in++++=in
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
seroprevalence ^nn+++??+=seroprevalence
of ^in++++=of
viral ^nn+++??+=viral
infections ^nns++++=infections
in ^in++++=in
the ^ati++++=the
cities ^nns++++=cities
studied ^vbd+++xvbn+=studied.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
enabled ^jj+atrb++xvbn+=enabled
researchers ^nns+++??+=researchers
to ^to++++=to
assess ^vbi++++=assess
viral ^nn+++??+=viral
circulation ^nn++++=circulation
and ^cc++++=and
estimate ^nn++++=estimate
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
individuals ^nns++++=individuals
exposed ^vbd+++xvbn+=exposed
to ^in++++=to
the ^ati++++=the
virus ^nn++++=virus,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
providing ^vbg+++xvbg+=providing
essential ^nn++++=essential
data ^nns++++=data
to ^to++++=to
inform ^vbi++++=inform
public ^jj+atrb+++=public
health ^nn++++=health
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^xvbg+++xvbg+=EXTRAWORD
aimed ^vwbn+++xvbn+=aimed
at ^rb++++=at
reducing ^vbg+++xvbg+=reducing
cases ^nns++++=cases
and ^cc++++=and
mortality ^nn++++=mortality.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
contribute ^vb++++=contribute
valuable ^jj+atrb+++=valuable
information ^nn++++=information
regarding ^in++++=regarding
the ^ati++++=the
socio ^nn+++??+=socio-economic
- ^zz++++=EXTRAWORD
economic ^jj++++=EXTRAWORD
and ^cc++++=and
health ^nn++++=health
impacts ^nns++++=impacts
of ^in++++=of
social ^jj+atrb+++=social
distancing ^nn++++=distancing
measures ^nns++++=measures
on ^in++++=on
the ^ati++++=the
population ^nn++++=population.
. ^zz++++=EXTRAWORD
