Carminati ^np+++??+=Carminati
s ^zz++++=s
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Position ^nn++++=Position
of ^in++++=of
Antecedent ^jj+atrb+++=Antecedent
Strategy ^nn++++=Strategy
( ^zz++++=(PAS)
pas ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
posits ^nns+++??+=posits
that ^tht+rel+obj++=that
the ^ati++++=the
interpretation ^nn++++=interpretation
of ^in++++=of
anaphors ^nns+++??+=anaphors
in ^in++++=in
Italian ^jj+atrb+++=Italian
sentences ^nns++++=sentences
with ^in++++=with
intrasentential ^nn+++??+=intrasentential
anaphora ^nn+++??+=anaphora
is ^vbz+bez+aux++=is
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
the ^ati++++=the
syntactic ^jj+atrb+++=syntactic
function ^nn++++=function
of ^in++++=of
their ^pp$+pp3+++=their
antecedents ^nns++++=antecedents.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
null ^jj+atrb+++=null
pronouns ^nns++++=pronouns
in ^in++++=in
subject ^nn++++=subject
position ^nn++++=position
typically ^rb++++=typically
refer ^vb++++=refer
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
unstressed ^jj+atrb++??+=unstressed
overt ^jj+atrb+++=overt
pronouns ^nns++++=pronouns
in ^in++++=in
subject ^nn++++=subject
position ^nn++++=position
generally ^rb+down+++=generally
refer ^vb++++=refer
to ^in++++=to
the ^ati++++=the
complement ^nn++++=complement
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^vbz++++=remains
uncertain ^jj++++=uncertain
whether ^cs+who+++=whether
this ^dt+dem+++=this
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
extends ^vbz++++=extends
to ^in++++=to
account ^nn++++=account
for ^in++++=for
the ^ati++++=the
distinctions ^nns++++=distinctions
between ^in++++=between
unstressed ^nn+++??+=unstressed
and ^cc++++=and
stressed ^vbd+vpub++xvbn+=stressed
pronouns ^nns++++=pronouns
in ^in++++=in
non ^&fw++++=non-null
- ^zz++++=EXTRAWORD
null ^jj+atrb+++=EXTRAWORD
subject ^nn++++=subject
languages ^nns++++=languages
such ^abl++++=such
as ^ql++++=as
english ^jj++++=English.
. ^zz++++=EXTRAWORD
