Recently ^rb+cnj+++=Recently,
, ^zz++++=EXTRAWORD
plant ^nn++++=plant-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
psychopharmacology ^nn+++??+=psychopharmacology
has ^vbz+hvz+aux++=has
attracted ^vprf+++xvbnx+=attracted
considerable ^jj+atrb+++=considerable
attention ^nn++++=attention
from ^in++++=from
researchers ^nns+++??+=researchers.
. ^zz++++=EXTRAWORD
Various ^jj+atrb+++=Various
mechanisms ^nns++++=mechanisms
of ^in++++=of
action ^nn++++=action
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
for ^in++++=for
medicinal ^jj+atrb+++=medicinal
plants ^nns++++=plants
used ^vwbn+++xvbn+=used
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
insomnia ^nn+++??+=insomnia,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
inhibition ^nn++++=inhibition
of ^in++++=of
monoamine ^nn+++??+=monoamine
reuptake ^nn+++??+=reuptake,
, ^zz++++=EXTRAWORD
modulation ^nn+++??+=modulation
of ^in++++=of
neuroreceptor ^nn+++??+=neuroreceptor
and ^cc++++=and
transporter ^nn+++??+=transporter
channel ^npl++++=channel
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regulation ^nn++++=regulation
of ^in++++=of
neuronal ^nn+++??+=neuronal
communication ^nn++++=communication
or ^cc++++=or
the ^ati++++=the
hypothalamic ^nn+++??+=hypothalamic-pituitary-adrenal
- ^zz++++=EXTRAWORD
pituitary ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
adrenal ^nn+++??+=EXTRAWORD
axis ^nn++++=axis
( ^zz++++=(Liu
liu ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
