Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
that ^tht+vcmp+++=that
V ^zz++++=V.
. ^zz++++=EXTRAWORD
officinalis ^nns+++??+=officinalis
exhibits ^nns++++=exhibits
low ^jj+atrb+++=low
toxicity ^nn+++??+=toxicity
( ^zz++++=(Bos
bos ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Yao ^np+++??+=Yao
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
literature ^nn++++=literature
demonstrates ^vbz+vpub+++=demonstrates
that ^tht+vcmp+++=that
valerian ^nn+++??+=valerian
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
safe ^jj+atrb+++=safe
herbal ^jj+atrb+++=herbal
remedy ^nn++++=remedy,
, ^zz++++=EXTRAWORD
with ^in++++=with
diurnal ^jj+atrb+++=diurnal
sleepiness ^nns+++??+=sleepiness
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
only ^rb+down+++=only
adverse ^jj+atrb+++=adverse
effect ^nn++++=effect
reported ^vbd+vpub++xvbn+=reported,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
effect ^nn++++=effect
occurs ^vbz++++=occurs
primarily ^rb+down+++=primarily
at ^in++++=at
higher ^jjr+atrb+++=higher
doses ^nns++++=doses.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
no ^at++++=no
significant ^jj+atrb+++=significant
harmful ^jj+atrb+++=harmful
side ^nn++++=side
effects ^nns++++=effects
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
documented ^vpsv++agls+xvbnx+=documented
( ^zz++++=(Kinrys
kinrys ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Baek ^np+++??+=Baek
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
these ^dt+dem+++=these
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
Pinheiro ^np+++??+=Pinheiro
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
no ^at++++=no
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
such ^abl++++=such
as ^ql++++=as
dizziness ^nns+++??+=dizziness,
, ^zz++++=EXTRAWORD
gastrointestinal ^nn+++??+=gastrointestinal
disturbances ^nns++++=disturbances,
, ^zz++++=EXTRAWORD
allergic ^jj+atrb+++=allergic
reactions ^nns++++=reactions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
paradoxical ^jj+atrb+++=paradoxical
responses ^nns++++=responses
in ^in++++=in
their ^pp$+pp3+++=their
study ^nn++++=study.
. ^zz++++=EXTRAWORD
