During ^in++++=During
his ^pp$+pp3+++=his
first ^rb++++=first
100 ^cd++++=100
days ^nns++++=days
in ^in++++=in
office ^nn++++=office,
, ^zz++++=EXTRAWORD
Jair ^np+++??+=Jair
Bolsonaro ^np+++??+=Bolsonaro
issued ^vbd+++xvbn+=issued
an ^at++++=an
executive ^nn++++=executive
order ^to++++=order
widely ^rb++++=widely
referred ^vbd+++xvbn+=referred
to ^in++++=to
in ^in++++=in
Brazil ^np++++=Brazil
as ^in++++=as
the ^ati++++=the
revoga ^nn+++??+=revoga
o ^zz++++=o,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
annulment ^nn++++=annulment
of ^in++++=of
250 ^cd++++=250
executive ^nn++++=executive
orders ^nns++++=orders
enacted ^vwbn+++xvbn+=enacted
by ^in++++=by
his ^pp$+pp3+++=his
predecessors ^nns++++=predecessors
since ^in++++=since
1901 ^cd+date+++=1901.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
first ^rb++++=first
24 ^cd++++=24
hours ^nns++++=hours
of ^in++++=of
his ^pp$+pp3+++=his
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
Joe ^np++++=Joe
Biden ^np+++??+=Biden
signed ^vbd+++xvbn+=signed
15 ^cd++++=15
new ^jj+atrb+++=new
executive ^nn++++=executive
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
which ^whp+rel+pied++=which
reversed ^jj+atrb++xvbn+=reversed
policies ^nns++++=policies
implemented ^vwbn+++xvbn+=implemented
by ^in++++=by
Donald ^np++++=Donald
Trump ^np+++??+=Trump.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
these ^dt+dem+++=these
actions ^nns++++=actions
may ^md+pos+++=may
appear ^vb+seem+++=appear
comparable ^jj++++=comparable
and ^cc++++=and
could ^md+pos+++=could
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
as ^ql++++=as
typical ^jj+atrb+++=typical
outcomes ^nns+++??+=outcomes
of ^in++++=of
democratic ^jj+atrb+++=democratic
transitions ^nns+++??+=transitions,
, ^zz++++=EXTRAWORD
a ^at++++=a
closer ^rbr++++=closer
examination ^nn++++=examination
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
federal ^jj+atrb+++=federal
government ^nn++++=government
reveals ^vbz+vprv+++=reveals
that ^tht+vcmp+++=that
the ^ati++++=the
extent ^nn++++=extent
and ^cc++++=and
characteristics ^nns++++=characteristics
of ^in++++=of
policy ^nn++++=policy
dismantling ^nn++++=dismantling
under ^in++++=under
Bolsonaro ^np+++??+=Bolsonaro
differ ^vb++++=differ
significantly ^rb++++=significantly
from ^in++++=from
standard ^jj+atrb+++=standard
post ^nn++++=post-election
- ^zz++++=EXTRAWORD
election ^nn++++=EXTRAWORD
policy ^nn++++=policy
changes ^nns++++=changes
that ^tht+rel+subj++=that
typically ^rb++++=typically
follow ^vb+vprv+++=follow
a ^at++++=a
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
ruling ^jj+atrb+++=ruling
political ^jj+atrb+++=political
party ^nn++++=party.
. ^zz++++=EXTRAWORD
