Residents ^nns++++=Residents
aged ^jj++++=aged
18 ^cd++++=18
years ^nns++++=years
or ^cc++++=or
older ^jjr++++=older
living ^jj+++xvbg+=living
in ^in++++=in
permanent ^jj+atrb+++=permanent
households ^nns++++=households
in ^in++++=in
the ^ati++++=the
urban ^jj+atrb+++=urban
areas ^nns++++=areas
of ^in++++=of
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto
and ^cc++++=and
Mariana ^np+++??+=Mariana
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
eligible ^jj++++=eligible
for ^in++++=for
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
2010 ^cd++++=2010
demographic ^jj+atrb+++=demographic
census ^nn++++=census,
, ^zz++++=EXTRAWORD
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto
had ^vb+hv+vrb++=had
44,569 ^cd++++=44,569
inhabitants ^nns++++=inhabitants
in ^in++++=in
17,753 ^cd++++=17,753
households ^nns++++=households,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Mariana ^np+++??+=Mariana
had ^vb+hv+vrb++=had
33,902 ^cd++++=33,902
inhabitants ^nns++++=inhabitants
in ^in++++=in
14,078 ^cd++++=14,078
households ^nns++++=households
[ ^zz++++=[12].
12 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
protocols ^nns++++=protocols
described ^vpsv++agls+xvbn+=described
below ^rb++++=below
were ^vbd+bed+vrb++=were
applied ^jj+pred+++=applied
identically ^rb++++=identically
in ^in++++=in
both ^abx++++=both
municipalities ^nns++++=municipalities.
. ^zz++++=EXTRAWORD
