Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
educational ^jj+atrb+++=educational
field ^nn++++=field,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
effectively ^rb++++=effectively
access ^vb++++=access,
, ^zz++++=EXTRAWORD
utilize ^vb++++=utilize,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
process ^nn++++=process
the ^ati++++=the
extensive ^jj+atrb+++=extensive
information ^nn++++=information
available ^jj+atrb+++=available
online ^nn+++??+=online
is ^vbz+bez+vrb++=is
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
the ^ati++++=the
goal ^nn++++=goal
is ^vbz+bez+aux++=is
to ^to++++=to
promote ^vbi++++=promote
equitable ^jj+atrb+++=equitable
opportunities ^nns++++=opportunities
for ^in++++=for
research ^nn++++=research
development ^nn++++=development
across ^in+pl+++=across
all ^abn++++=all
educational ^jj+atrb+++=educational
levels ^nns++++=levels
( ^zz++++=(Moreno
moreno ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
intended ^nn++++=intended
learning ^vwbg+vprv++xvbg+=learning
outcomes ^nns++++=outcomes
for ^in++++=for
the ^ati++++=the
proposed ^vbd+vsua+tht0++=proposed
module ^nn++++=module
are ^vb+ber+aux++=are
outlined ^vwbn+++xvbn+=outlined
below ^rb++++=below:
: ^zz++++=EXTRAWORD
