Mariana ^np+++??+=Mariana,
, ^zz++++=EXTRAWORD
established ^j+++xvbn+=established
in ^in++++=in
1696 ^cd+date+++=1696,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
the ^ati++++=the
first ^od++++=first
settlement ^nn++++=settlement
in ^in++++=in
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais.
. ^zz++++=EXTRAWORD
The ^ati++++=The
municipality ^nn++++=municipality
has ^vbz+hvz+vrb++=has
a ^at++++=a
Human ^jj+atrb+++=Human
Development ^nn++++=Development
Index ^nn++++=Index
( ^zz++++=(HDI)
hdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
0.742 ^nn+++??+=0.742.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
primary ^jj+atrb+++=primary
economic ^jj+atrb+++=economic
activity ^nn++++=activity
is ^vbz+bez+vrb++=is
iron ^nn++++=iron
ore ^nn++++=ore
extraction ^nn++++=extraction,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
significantly ^rb++++=significantly
contributes ^vbz++++=contributes
to ^in++++=to
local ^jj+atrb+++=local
employment ^nn++++=employment
and ^cc++++=and
public ^jj+atrb+++=public
revenue ^nn++++=revenue
[ ^zz++++=[12,13].
12,13 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
