Inclusion ^nn++++=Inclusion
criteria ^nns++++=criteria
encompassed ^vbd+++xvbn+=encompassed
master ^nn++++=master's
's ^$++++=EXTRAWORD
programs ^nns+++??+=programs
with ^in++++=with
a ^at++++=a
focus ^nn++++=focus
on ^in++++=on
electronic ^jj+atrb+++=electronic
learning ^nn++++=learning,
, ^zz++++=EXTRAWORD
educational ^jj+atrb+++=educational
innovation ^nn++++=innovation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
educational ^jj+atrb+++=educational
technology ^nn++++=technology.
. ^zz++++=EXTRAWORD
