Objectives ^nns++++=Objectives:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
identify ^vbi++++=identify
and ^cc+phrs+++=and
characterize ^vb++++=characterize
protocols ^nns++++=protocols
of ^in++++=of
physical ^jj+atrb+++=physical
activity ^nn++++=activity
and ^cc++++=and/or
physical ^jj+atrb+++=physical
exercise ^nn++++=exercise
interventions ^nns++++=interventions
used ^vwbn+++xvbn+=used
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
breast ^nn++++=breast
cancer ^nn++++=cancer.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
examines ^vbz++++=examines
the ^ati++++=the
types ^nns++++=types,
, ^zz++++=EXTRAWORD
frequency ^nn++++=frequency,
, ^zz++++=EXTRAWORD
duration ^nn++++=duration,
, ^zz++++=EXTRAWORD
intensity ^nn++++=intensity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
timing ^nn++++=timing
of ^in++++=of
these ^dt+dem+++=these
therapeutic ^jj+atrb+++=therapeutic
interventions ^nns++++=interventions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
summarizes ^vbz++++=summarizes
the ^ati++++=the
outcomes ^nn++++=outcomes
reported ^vpsv++agls+xvbn+=reported
in ^in++++=in
the ^ati++++=the
reviewed ^xvbn+++xvbn+=reviewed
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
