Although ^cs+con+++=Although
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
elderly ^jj+atrb+++=elderly
individuals ^nns++++=individuals
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
than ^in++++=than
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
( ^zz++++=(18.9%
18.9 ^cd+date+++=EXTRAWORD
% ^zz++++=EXTRAWORD
and ^cc++++=and
13.3 ^cd++++=13.3%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
age ^nn++++=age-standardized
- ^zz++++=EXTRAWORD
standardized ^nn+++??+=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
factors ^nns++++=factors
other ^ap++++=other
than ^in++++=than
age ^nn++++=age
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
differences ^nns++++=differences
in ^in++++=in
risk ^nn++++=risk
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
with ^in++++=with
rates ^nns++++=rates
of ^in++++=of
195 ^cd++++=195
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
compared ^vbd+++xvbn+=compared
to ^to++++=to
125 ^cd++++=125
per ^in++++=per
100,000 ^cd++++=100,000
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo.
. ^zz++++=EXTRAWORD
