The ^ati++++=The
intensity ^nn++++=intensity
of ^in++++=of
the ^ati++++=the
interventions ^nns++++=interventions
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
the ^ati++++=the
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
light ^nn++++=light,
, ^zz++++=EXTRAWORD
light ^nn++++=light
to ^in++++=to
moderate ^jj++++=moderate,
, ^zz++++=EXTRAWORD
moderate ^jj++++=moderate,
, ^zz++++=EXTRAWORD
light ^nn++++=light
to ^in++++=to
vigorous ^jj++++=vigorous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moderate ^jj++++=moderate
to ^in++++=to
high ^jj++++=high
or ^cc+phrs+++=or
vigorous ^jj++++=vigorous.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
interventions ^nns++++=interventions
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
light ^jj++++=light
in ^in++++=in
one ^cd1++++=one
study ^nn++++=study,
, ^zz++++=EXTRAWORD
light ^nn++++=light
to ^in++++=to
moderate ^jj++++=moderate
in ^in++++=in
two ^cd++++=two
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
moderate ^jj++++=moderate
in ^in++++=in
four ^cd++++=four
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
light ^nn++++=light
to ^in++++=to
vigorous ^jj++++=vigorous
in ^in++++=in
one ^cd1++++=one
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moderate ^jj++++=moderate
to ^in++++=to
high ^jj++++=high
or ^cc+phrs+++=or
vigorous ^jj++++=vigorous
in ^in++++=in
two ^cd++++=two
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
studies ^nns++++=studies
did ^vbd+dod+aux++=did
not ^xnot++not++=not
specify ^vb+vsua+++=specify
the ^ati++++=the
intensity ^nn++++=intensity
of ^in++++=of
the ^ati++++=the
interventions ^nns++++=interventions.
. ^zz++++=EXTRAWORD
