All ^abn++++=All
civil ^jj+atrb+++=civil
servants ^nns++++=servants
from ^in++++=from
my ^pp$+pp1+++=my
former ^ap++++=former
department ^nn++++=department
transferred ^vwbn+++xvbn+=transferred
to ^in++++=to
other ^ap++++=other
departments ^nns++++=departments.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
arranged ^vbd+vsua+tht0+xvbnx+=arranged
my ^pp$+pp1+++=my
own ^ap++++=own
transfer ^nn++++=transfer
to ^in++++=to
a ^at++++=a
different ^jj+atrb+++=different
area ^nn++++=area,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
align ^nn+++??+=align
with ^in++++=with
my ^pp$+pp1+++=my
personal ^jj+atrb+++=personal
interests ^nns++++=interests;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
available ^jj+atrb+++=available
option ^nn++++=option
at ^in++++=at
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
continuously ^rb++++=continuously
sought ^vbd+++xvbn+=sought
a ^at++++=a
position ^nn++++=position
where ^wrb+who+++=where
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
feasible ^jj+pred+++=feasible
to ^to++++=to
maintain ^vbi+vpub+++=maintain
professional ^jj+atrb+++=professional
stability ^nn++++=stability.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
decision ^nn++++=decision
to ^to+ncmp+++=to
move ^vbi++++=move
was ^vbd+bedz+aux++=was
primarily ^rb+down+splt++=primarily
motivated ^vpsv++by+xvbnx+=motivated
by ^in++++=by
the ^ati++++=the
pursuit ^nn++++=pursuit
of ^in++++=of
a ^at++++=a
work ^nn++++=work
environment ^nn++++=environment
that ^tht+rel+subj++=that
would ^md+prd+++=would
allow ^vb++++=allow
me ^pp1o+pp1+++=me
to ^to++++=to
perform ^vbi++++=perform
my ^pp$+pp1+++=my
duties ^nns++++=duties
with ^in++++=with
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
dignity ^nn++++=dignity
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
8 ^zz++++=8).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
