As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching
and ^cc++++=and
instructional ^jj+atrb+++=instructional
manifestations ^nns++++=manifestations
were ^vbd+bed+aux++=were
primarily ^rb+down+splt++=primarily
initiated ^vpsv++by+xvbnx+=initiated
by ^in++++=by
teachers ^nns++++=teachers
and ^cc++++=and
tutors ^nns++++=tutors;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
such ^abl++++=such
manifestations ^nns++++=manifestations
were ^vbd+bed+aux++=were
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
interactions ^nns++++=interactions
contributed ^vwbn+++xvbn+=contributed
by ^in++++=by
course ^nn++++=course
participants ^nns++++=participants.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
manifestations ^nns++++=manifestations
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
the ^ati++++=the
contexts ^nns++++=contexts
of ^in++++=of
instructional ^jj+atrb+++=instructional
management ^nn++++=management,
, ^zz++++=EXTRAWORD
meaning ^nn++++=meaning
construction ^nn++++=construction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
direct ^jj+atrb+++=direct
instruction ^nn++++=instruction.
. ^zz++++=EXTRAWORD
