During ^in++++=During
the ^ati++++=the
interview ^nn++++=interview
process ^nn++++=process,
, ^zz++++=EXTRAWORD
several ^ap++++=several
participants ^nns++++=participants
exhibited ^vbd+++xvbn+=exhibited
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses
when ^wrb+who+++=when
discussing ^vbg+++xvbg+=discussing
either ^dtx++++=either
their ^pp$+pp3+++=their
current ^jj+atrb+++=current
circumstances ^nns++++=circumstances
or ^cc++++=or
their ^pp$+pp3+++=their
past ^jjb+atrb+++=past
work ^nn++++=work
experiences ^nns++++=experiences.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response,
, ^zz++++=EXTRAWORD
the ^ati++++=the
research ^nn++++=research
team ^nn++++=team
introduced ^vwbn+++xvbn+=introduced
an ^at++++=an
additional ^jj+atrb+++=additional
question ^nn++++=question
at ^in++++=at
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
inviting ^jj+atrb++xvbg+=inviting
participants ^nns++++=participants
to ^to++++=to
consider ^vbi+vprv+++=consider
future ^jjb+atrb+++=future
possibilities ^nns++++=possibilities
and ^cc++++=and
identify ^vb++++=identify
a ^at++++=a
project ^nn++++=project
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+vrb++=be
interested ^jj+pred+++=interested
in ^in++++=in
pursuing ^nn++++=pursuing.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
modification ^nn++++=modification
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
conclude ^vbi+vprv+++=conclude
the ^ati++++=the
interview ^nn++++=interview
with ^in++++=with
a ^at++++=a
focus ^nn++++=focus
on ^in++++=on
positive ^jj++++=positive
and ^cc++++=and
forward ^rb++++=forward-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
mitigating ^vbg+++xvbg+=mitigating
any ^dti++++=any
negative ^jj+atrb+++=negative
psychological ^jj+atrb+++=psychological
impact ^nn++++=impact
observed ^jj++++=observed
during ^in++++=during
the ^ati++++=the
interviews ^nns++++=interviews.
. ^zz++++=EXTRAWORD
