Table ^nn++++=Table
1 ^zz++++=1
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
35.1 ^cd++++=35.1%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
25.5 ^cd++++=25.5
45.6 ^cd++++=45.6)
) ^zz++++=EXTRAWORD
in ^in++++=in
unvaccinated ^nn+++??+=unvaccinated
individuals ^nns++++=individuals
and ^cc++++=and
11.4 ^cd++++=11.4%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
5.1 ^cd++++=5.1
21.3 ^cd++++=21.3)
) ^zz++++=EXTRAWORD
in ^in++++=in
vaccinated ^nn+++??+=vaccinated
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difference ^nn++++=difference
in ^in++++=in
incidence ^nn++++=incidence
between ^in++++=between
the ^ati++++=the
unvaccinated ^nn+++??+=unvaccinated
and ^cc++++=and
vaccinated ^nn+++??+=vaccinated
groups ^nns++++=groups
was ^vbd+bedz+vrb++=was
statistically ^rb++++=statistically
significant ^jj+pred+++=significant
( ^zz++++=(
= ^zz++++==
12.6 ^cd++++=12.6,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.001 ^nn+++??+=0.001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
odds ^nns++++=odds
ratio ^nn++++=ratio
for ^in++++=for
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection
in ^in++++=in
unvaccinated ^nn++++=unvaccinated
compared ^vbd+++xvbn+=compared
to ^in++++=to
vaccinated ^jj+atrb++??+=vaccinated
individuals ^nns++++=individuals
was ^vbd+bedz+vrb++=was
4.19 ^cd++++=4.19
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
ci ^np++++=CI:
: ^zz++++=EXTRAWORD
1.79 ^cd++++=1.79
9.80 ^cd++++=9.80).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
