As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
for ^in++++=for
European ^jj++++=European
Portuguese ^jj++++=Portuguese
( ^zz++++=(EP)
ep ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Brazilian ^jj++++=Brazilian
Portuguese ^jj++++=Portuguese
( ^zz++++=(BP)
bp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
speakers ^nns++++=speakers
are ^vb+ber+vrb++=are
highly ^rb+amp+++=highly
similar ^jj+pred+++=similar;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
zero ^cd++++=zero
anaphora ^nn+++??+=anaphora,
, ^zz++++=EXTRAWORD
Bp ^np+++??+=BP
speakers ^nns++++=speakers
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
associate ^vbi++++=associate
the ^ati++++=the
ellipsis ^nns+++??+=ellipsis
with ^in++++=with
the ^ati++++=the
subject ^nn++++=subject
than ^in++++=than
Ep ^np+++??+=EP
speakers ^nns++++=speakers
( ^zz++++=(90%
90 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
and ^cc++++=and
75 ^cd++++=75%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
groups ^nns++++=groups
predominantly ^rb++++=predominantly
employ ^vb++++=employ
the ^ati++++=the
Position ^nn++++=Position
of ^in++++=of
Antecedent ^jj+atrb+++=Antecedent
Strategy ^nn++++=Strategy.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
strategy ^nn++++=strategy
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
less ^rbr++++=less
robust ^jj+pred+++=robust
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
pronominal ^nn+++??+=pronominal
cataphora ^nn+++??+=cataphora
compared ^vbd+++xvbn+=compared
to ^in++++=to
pronominal ^nn+++??+=pronominal
anaphora ^nn+++??+=anaphora.
. ^zz++++=EXTRAWORD
The ^ati++++=The
alternative ^nn++++=alternative
" ^zz++++="other"
other ^ap++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
only ^rb+down+++=only
when ^wrb+who+++=when
the ^ati++++=the
anaphor ^nn+++??+=anaphor
was ^vbd+bedz+vrb++=was
a ^at++++=a
pronoun ^nn++++=pronoun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
chosen ^vpsv++agls+xvbnx+=chosen
more ^rbr++++=more
frequently ^rb++++=frequently
in ^in++++=in
cataphoric ^nn+++??+=cataphoric
contexts ^nns++++=contexts
than ^in++++=than
in ^in++++=in
anaphoric ^nn+++??+=anaphoric
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
pronominal ^nn+++??+=pronominal
cataphora ^nn+++??+=cataphora
presents ^vbz++++=presents
greater ^jjr+atrb+++=greater
processing ^nn++++=processing
difficulty ^nn++++=difficulty
than ^in++++=than
other ^ap++++=other
types ^nns++++=types
of ^in++++=of
anaphora ^nn++++=anaphora.
. ^zz++++=EXTRAWORD
