However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
current ^jj+atrb+++=current
educational ^jj+atrb+++=educational
context ^nn++++=context
has ^vbz+hvz+aux++=has
undergone ^vprf+++xvbn+=undergone
significant ^jj+atrb+++=significant
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
21st ^cd++++=21st
century ^nn++++=century
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
widespread ^jj+atrb+++=widespread
adoption ^nn++++=adoption
of ^in++++=of
digital ^jj+atrb+++=digital
media ^nns++++=media,
, ^zz++++=EXTRAWORD
mobile ^jj+atrb+++=mobile
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Internet ^np+++??+=Internet
resources ^nns++++=resources
( ^zz++++=(Leow,
leow ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Neo ^np+++??+=Neo,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Hew ^np+++??+=Hew,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
244 ^cd++++=244),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
students ^nns++++=students
being ^vb+be+vrb++=being
the ^ati++++=the
primary ^jj+atrb+++=primary
users ^nns++++=users
of ^in++++=of
these ^dt+dem+++=these
technologies ^nns++++=technologies.
. ^zz++++=EXTRAWORD
