Regarding ^in++++=Regarding
interventions ^nns++++=interventions
involving ^xvbg+++xvbg+=involving
walking ^vbg+++xvbg+=walking,
, ^zz++++=EXTRAWORD
study ^nn++++=study
protocols ^nns++++=protocols
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
walking ^vbg+++xvbg+=walking
can ^md+pos+++=can
be ^vb+be+vrb++=be
an ^at++++=an
effective ^jj+atrb+++=effective
method ^nn++++=method
for ^in++++=for
improving ^xvbg+++xvbg+=improving
cardiorespiratory ^nn+++??+=cardiorespiratory
fitness ^nn++++=fitness
and ^cc++++=and
physical ^jj+atrb+++=physical
performance ^nn++++=performance,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
being ^jj+++xvbg+=being
a ^at++++=a
safe ^jj+atrb+++=safe
and ^cc+phrs+++=and
beneficial ^jj+atrb+++=beneficial
intervention ^nn++++=intervention
for ^in++++=for
women ^nns++++=women
with ^in++++=with
lymphedema ^nn+++??+=lymphedema
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
breast ^nn++++=breast
cancer ^nn++++=cancer.
. ^zz++++=EXTRAWORD
Walking ^vbg+++xvbg+=Walking
is ^vbz+bez+vrb++=is
also ^rb++++=also
characterized ^nn+++??+=characterized
by ^in++++=by
its ^pp$+it+++=its
accessibility ^nn++++=accessibility
and ^cc++++=and
low ^jj+atrb+++=low
cost ^nn++++=cost,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
practical ^jj+atrb+++=practical
means ^nn++++=means
of ^in++++=of
transportation ^nn++++=transportation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
makes ^vbz++++=makes
it ^pp3+it+++=it
a ^at++++=a
particularly ^rb++++=particularly
viable ^jj+atrb+++=viable
option ^nn++++=option
in ^in++++=in
lowand ^nn+++??+=lowand
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
High ^jj+atrb+++=High
Intensity ^nn++++=Intensity
Interval ^nn++++=Interval
Training ^nn++++=Training
( ^zz++++=(HIIT)
hiit ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
exercises ^nns++++=exercises
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recommended ^vpsv++agls+xvbnx+=recommended
in ^in++++=in
study ^nn++++=study
protocols ^nns++++=protocols
by ^in++++=by
Tsuji ^np+++??+=Tsuji
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Oberste ^np+++??+=Oberste
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
modality ^nn+++??+=modality
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
investigated ^vpsv++agls+xvbnx+=investigated
in ^in++++=in
breast ^nn++++=breast
cancer ^nn++++=cancer
patients ^nns++++=patients
undergoing ^vbg+++xvbg+=undergoing
chemotherapy ^nn++++=chemotherapy,
, ^zz++++=EXTRAWORD
with ^in++++=with
studies ^nns++++=studies
reporting ^jj+atrb+++=reporting
positive ^jj+atrb+++=positive
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
