Select ^jj+atrb+++=Select
technological ^jj+atrb+++=technological
tools ^nns++++=tools
based ^vwbn+++xvbn+=based
on ^in++++=on
established ^vbd+vprv++xvbn+=established
technical ^jj+atrb+++=technical
and ^cc+phrs+++=and
pedagogical ^jj+atrb+++=pedagogical
criteria ^nns++++=criteria
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
digital ^jj+atrb+++=digital
content ^nn++++=content
and ^cc++++=and
multimedia ^jj+atrb+++=multimedia
educational ^jj+atrb+++=educational
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
