Exclusion ^nn++++=Exclusion
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
Master ^np++++=Master's
's ^$++++=EXTRAWORD
programs ^nns+++??+=programs
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
information ^nn++++=information
and ^cc++++=and
communication ^nn++++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
but ^cc++++=but
do ^vb+do+aux++=do
not ^xnot++not++=not
incorporate ^vb++++=incorporate
components ^nns++++=components
of ^in++++=of
education ^nn++++=education
or ^cc++++=or
learning ^nn++++=learning
are ^vb+ber+aux++=are
excluded ^vpsv++agls+xvbn+=excluded
from ^in++++=from
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
