Locations ^nns++++=Locations
categorized ^nn+++??+=categorized
as ^in++++=as
" ^zz++++="other"
other ^ap++++=EXTRAWORD
" ^zz++++=EXTRAWORD
occur ^vb++++=occur
less ^rbr++++=less
frequently ^rb++++=frequently.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
of ^in++++=of
such ^abl++++=such
locations ^nns++++=locations
include ^vb++++=include
Atms ^np+++??+=ATMs,
, ^zz++++=EXTRAWORD
warehouses ^nns++++=warehouses,
, ^zz++++=EXTRAWORD
restaurants ^nns++++=restaurants,
, ^zz++++=EXTRAWORD
supermarkets ^nns++++=supermarkets,
, ^zz++++=EXTRAWORD
pharmacies ^nns++++=pharmacies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
public ^jj+atrb+++=public
transportation ^nn++++=transportation.
. ^zz++++=EXTRAWORD
