As ^in++++=As
an ^at++++=an
agent ^nn++++=agent-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
model ^nn++++=model
( ^zz++++=(ABM),
abm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
core ^nn++++=core
of ^in++++=of
the ^ati++++=the
system ^nn++++=system
consists ^vbz++++=consists
of ^in++++=of
agents ^nns++++=agents
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
humans ^nns++++=humans
( ^zz++++=(Ha).
ha ^uh++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
Ha ^uh++++=Ha
is ^vbz+bez+vrb++=is
capable ^jj+pred+++=capable
of ^in++++=of
acquiring ^xvbg+++xvbg+=acquiring
and ^cc++++=and
transmitting ^xvbg+++xvbg+=transmitting
the ^ati++++=the
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
virus ^nn++++=virus,
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
changes ^nns++++=changes
in ^in++++=in
symptoms ^nns++++=symptoms
and ^cc++++=and
health ^nn++++=health
status ^nn++++=status
in ^in++++=in
response ^nn++++=response
to ^in++++=to
infection ^nn++++=infection
dynamics ^nn++++=dynamics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
modifying ^vbg+++xvbg+=modifying
behaviors ^nns+++??+=behaviors
accordingly ^rb++++=accordingly
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Infectivity ^np+++??+=Infectivity
submodel ^nn+++??+=submodel,
, ^zz++++=EXTRAWORD
Section ^nn++++=Section
3.1 ^cd++++=3.1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
each ^dt++++=each
Ha ^uh++++=Ha
possesses ^vbz++++=possesses
specific ^jj+atrb+++=specific
characteristics ^nns++++=characteristics
and ^cc++++=and
attributes ^vbz++++=attributes
that ^dt+dem+++=that
correspond ^nn++++=correspond
to ^in++++=to
particular ^jj++++=particular
risk ^vb++++=risk
factors ^nns++++=factors
and ^cc++++=and
comorbidities ^nns+++??+=comorbidities
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
epidemiological ^np++++=Epidemiological
characterization ^nn++++=Characterization
submodel ^nn++++=submodel,
, ^zz++++=EXTRAWORD
section ^nn++++=Section
3.2 ^cd++++=3.2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
