Several ^ap++++=Several
respondents ^nns++++=respondents
described ^vbd+++xvbn+=described
experiencing ^vbg+++xvbg+=experiencing
discomfort ^nn++++=discomfort
and ^cc++++=and
uneasiness ^nn++++=uneasiness
that ^tht+rel+subj++=that
prompted ^vprf+++xvbn+=prompted
them ^pp3o+pp3+++=them
to ^to++++=to
leave ^vbi++++=leave
their ^pp$+pp3+++=their
original ^jj+atrb+++=original
positions ^nns++++=positions
following ^vwbg+++xvbg+=following
the ^ati++++=the
2016 ^cd++++=2016
impeachment ^nn++++=impeachment,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
the ^ati++++=the
quotations ^nns++++=quotations
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
accounts ^nns++++=accounts
highlight ^nn++++=highlight
a ^at++++=a
notable ^jj+atrb+++=notable
combination ^nn++++=combination
of ^in++++=of
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
also ^rb++++=also
observed ^vbd+vprv++xvbn+=observed
during ^in++++=during
the ^ati++++=the
Bolsonaro ^np+++??+=Bolsonaro
administration ^nn++++=administration:
: ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
choose ^vb++++=choose
to ^to+vcmp+++=to
leave ^vbi++++=leave
their ^pp$+pp3+++=their
initial ^jj+atrb+++=initial
roles ^nns++++=roles
and ^cc++++=and
institutions ^nns++++=institutions
often ^rb++++=often
seek ^vb++++=seek
new ^jj+atrb+++=new
environments ^nns++++=environments
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
can ^md+pos+++=can
engage ^vb++++=engage
in ^in++++=in
less ^rbr++++=less
visible ^jj+atrb+++=visible
work ^nn++++=work,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
perceived ^vbd+vprv++xvbn+=perceived
as ^ql++++=as
offering ^vbg+++xvbg+=offering
a ^at++++=a
certain ^jj+atrb+++=certain
level ^nn++++=level
of ^in++++=of
protection ^nn++++=protection.
. ^zz++++=EXTRAWORD
