All ^abn++++=All
hospitalized ^nn+++??+=hospitalized
adults ^nns++++=adults
( ^zz++++=(aged
aged ^jj++++=EXTRAWORD
18 ^cd++++=18
years ^nns++++=years
or ^cc++++=or
older ^jjr++++=older)
) ^zz++++=EXTRAWORD
diagnosed ^vbd+++xvbn+=diagnosed
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
or ^cc++++=or
unspecified ^jj++++=unspecified
severe ^jj+atrb+++=severe
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
( ^zz++++=(SARS)
sars ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
1 ^zz++++=1
January ^nr++++=January
2020 ^cd++++=2020
and ^cc++++=and
31 ^cd++++=31
December ^nr++++=December
2020 ^cd++++=2020
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
with ^in++++=with
Sars ^np+++??+=SARS
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
other ^ap++++=other
causes ^nns++++=causes
( ^zz++++=(including
including ^in++++=EXTRAWORD
influenza ^nn++++=influenza,
, ^zz++++=EXTRAWORD
other ^ap++++=other
respiratory ^jj+atrb+++=respiratory
viruses ^nns++++=viruses,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other
etiologic ^nn+++??+=etiologic
agents ^nns++++=agents),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
individuals ^nns++++=individuals
with ^in++++=with
Down ^in++++=Down
syndrome ^nn++++=syndrome
and ^cc++++=and
pregnant ^jj++++=pregnant
or ^cc++++=or
postpartum ^nn++++=postpartum
women ^nns++++=women,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbn+=excluded.
. ^zz++++=EXTRAWORD
