As ^in++++=As
noted ^nn++++=noted
in ^in++++=in
the ^ati++++=the
previous ^jj+atrb+++=previous
section ^nn++++=section,
, ^zz++++=EXTRAWORD
each ^dt++++=each
Ha ^uh++++=Ha
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
specific ^jj+atrb+++=specific
epidemiological ^nn+++??+=epidemiological
attributes ^vbz++++=attributes
that ^dt+dem+++=that
influence ^nn++++=influence
the ^ati++++=the
parameters ^nns++++=parameters
of ^in++++=of
the ^ati++++=the
Infectivity ^np+++??+=Infectivity
submodel ^nn+++??+=submodel,
, ^zz++++=EXTRAWORD
as ^in++++=as
presented ^nn++++=presented
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
Notable ^jj++++=Notable
among ^in++++=among
these ^dt+dem+++=these
attributes ^nns++++=attributes
are ^vb+ber+vrb++=are
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
comorbidities ^nns+++??+=comorbidities
or ^cc++++=or
risk ^nn++++=risk
factors ^nns++++=factors
and ^cc++++=and
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
symptomatic ^nn++++=symptomatic
infected ^xvbn+++xvbn+=infected
individuals ^nns++++=individuals
within ^in++++=within
the ^ati++++=the
household ^nn++++=household.
. ^zz++++=EXTRAWORD
