While ^cs+sub+++=While
acknowledging ^vbg+++xvbg+=acknowledging
that ^tht+vcmp+++=that
the ^ati++++=the
normative ^nn+++??+=normative
and ^cc++++=and
value ^nn++++=value-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
aspects ^nns++++=aspects
of ^in++++=of
religious ^jj+atrb+++=religious
belief ^nn++++=belief
can ^md+pos+++=can
be ^vb+be+aux++=be
addressed ^vpsv++agls+xvbnx+=addressed
within ^in++++=within
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
curriculum ^nn++++=curriculum
of ^in++++=of
philosophy ^nn++++=philosophy
and ^cc++++=and
ethics ^nn++++=ethics,
, ^zz++++=EXTRAWORD
the ^ati++++=the
society ^nn++++=society
maintains ^vbz+vpub+++=maintains
a ^at++++=a
clear ^jj+atrb+++=clear
position ^nn++++=position
on ^in++++=on
the ^ati++++=the
independence ^nn++++=independence
of ^in++++=of
public ^jj+atrb+++=public
values ^nns++++=values
from ^in++++=from
theological ^jj+atrb+++=theological
moral ^jj+atrb+++=moral
claims ^nns++++=claims
( ^zz++++=(National
national ^jj+atrb+++=EXTRAWORD
secular ^jj+atrb+++=Secular
society ^nn++++=Society,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
